date,revenue,cogs,gross_profit,gross_margin_pct,year,month,quarter,day_of_week,dow_name,is_weekend,year_month,revenue_ma7,revenue_ma30,cogs_ma7,cogs_ma30,yoy_growth_pct
2012-07-21,3442157.02,2746075.45,696081.57,20.22,2012,7,3,5,Saturday,1,2012-07,4592661.19,4296552.61,3623587.35,3376747.65,
2012-07-22,3117550.57,2531656.38,585894.19,18.79,2012,7,3,6,Sunday,1,2012-07,4473905.37,4234499.87,3534612.25,3332269.16,
2012-07-23,4730517.69,3685006.66,1045511.03,22.1,2012,7,3,0,Monday,0,2012-07,4649150.54,4259300.76,3674153.26,3349906.03,
2012-07-24,4096496.12,3248450.65,848045.47,20.7,2012,7,3,1,Tuesday,0,2012-07,4594831.49,4251548.16,3643494.55,3345074.82,
2012-07-25,5246688.08,4140019.37,1106668.71,21.09,2012,7,3,2,Wednesday,0,2012-07,4603766.72,4296781.79,3653209.87,3381208.67,
2012-07-26,5851965.06,4579171.74,1272793.32,21.75,2012,7,3,3,Thursday,0,2012-07,4522406.43,4364398.46,3592052.84,3433294.02,
2012-07-27,5156699.45,3989402.2,1167297.25,22.64,2012,7,3,4,Friday,0,2012-07,4520296.28,4397411.0,3559968.92,3456465.19,
2012-07-28,4326956.84,3403662.59,923294.25,21.34,2012,7,3,5,Saturday,1,2012-07,4646696.26,4394592.83,3653909.94,3454353.09,
2012-07-29,4804199.65,3819645.91,984553.74,20.49,2012,7,3,6,Sunday,1,2012-07,4887646.13,4410346.94,3837908.45,3468402.81,
2012-07-30,6586130.95,5195109.56,1391021.39,21.12,2012,7,3,0,Monday,0,2012-07,5152733.74,4490931.53,4053637.43,3532354.91,
2012-07-31,9151622.14,7142891.18,2008730.96,21.95,2012,7,3,1,Tuesday,0,2012-07,5874894.6,4657384.77,4609986.08,3661302.64,
2012-08-01,9148357.3,7308514.33,1839842.97,20.11,2012,8,3,2,Wednesday,0,2012-08,6432275.91,4812245.89,5062628.22,3787068.56,
2012-08-02,9692427.0,7537501.15,2154925.85,22.23,2012,8,3,3,Thursday,0,2012-08,6980913.33,4974918.59,5485246.7,3912082.98,
2012-08-03,9297269.95,7118808.46,2178461.49,23.43,2012,8,3,4,Friday,0,2012-08,7572423.4,5114042.66,5932304.74,4016610.22,
2012-08-04,6384195.03,5087528.11,1296666.92,20.31,2012,8,3,5,Saturday,1,2012-08,7866314.57,5235123.38,6172856.96,4114508.48,
2012-08-05,2359224.19,1863413.11,495811.08,21.02,2012,8,3,6,Sunday,1,2012-08,7517032.37,5211963.21,5893395.13,4092701.16,
2012-08-06,3630003.7,2922718.71,707284.99,19.48,2012,8,3,0,Monday,0,2012-08,7094728.47,5244032.3,5568767.86,4119850.23,
2012-08-07,2240253.44,1781265.84,458987.6,20.49,2012,8,3,1,Tuesday,0,2012-08,6107390.09,5240012.35,4802821.39,4118938.33,
2012-08-08,2617553.36,1997006.42,620546.94,23.71,2012,8,3,2,Wednesday,0,2012-08,5174418.1,5208984.58,4044034.54,4092577.16,
2012-08-09,4478691.52,3621672.71,857018.81,19.14,2012,8,3,3,Thursday,0,2012-08,4429598.74,5183776.34,3484630.48,4078484.95,
2012-08-10,3412496.65,2699279.56,713217.09,20.9,2012,8,3,4,Friday,0,2012-08,3588916.84,5111430.07,2853269.21,4023850.5,
2012-08-11,2732604.35,2168668.05,563936.3,20.64,2012,8,3,5,Saturday,1,2012-08,3067261.03,5011362.48,2436289.2,3947512.39,
2012-08-12,3388181.83,2654275.25,733906.58,21.66,2012,8,3,6,Sunday,1,2012-08,3214254.98,4947318.15,2549269.51,3897874.81,
2012-08-13,3928170.01,3189564.96,738605.05,18.8,2012,8,3,0,Monday,0,2012-08,3256850.17,4950896.11,2587390.4,3901678.15,
2012-08-14,4033912.16,3258198.58,775713.58,19.23,2012,8,3,1,Tuesday,0,2012-08,3513087.13,4953731.8,2798380.79,3905135.36,
2012-08-15,3780293.26,2886923.59,893369.67,23.63,2012,8,3,2,Wednesday,0,2012-08,3679192.83,4962948.19,2925511.81,3911092.16,
2012-08-16,5249978.18,4222455.97,1027522.21,19.57,2012,8,3,3,Thursday,0,2012-08,3789376.63,4988723.15,3011337.99,3936405.31,
2012-08-17,4089284.05,3238908.92,850375.13,20.8,2012,8,3,4,Friday,0,2012-08,3886060.55,4952227.9,3088427.9,3908635.2,
2012-08-18,3450015.71,2808916.94,641098.77,18.58,2012,8,3,5,Saturday,1,2012-08,3988547.89,4853178.86,3179892.03,3835356.73,
2012-08-19,3904300.93,3006801.4,897499.53,22.99,2012,8,3,6,Sunday,1,2012-08,4062279.19,4810939.87,3230252.91,3795117.12,
2012-08-20,3541027.32,2827038.81,713988.51,20.16,2012,8,3,0,Monday,0,2012-08,4006973.09,4814235.55,3178463.46,3797815.9,
2012-08-21,4147483.23,3364364.64,783118.59,18.88,2012,8,3,1,Tuesday,0,2012-08,4023197.53,4848566.64,3193630.04,3825572.85,
2012-08-22,4597682.81,3562468.33,1035214.48,22.52,2012,8,3,2,Wednesday,0,2012-08,4139967.46,4844138.81,3290136.43,3821488.23,
2012-08-23,5478869.55,4195738.04,1283131.51,23.42,2012,8,3,3,Thursday,0,2012-08,4172666.23,4890217.92,3286319.58,3853064.48,
2012-08-24,4637850.57,3632210.67,1005639.9,21.68,2012,8,3,4,Friday,0,2012-08,4251032.87,4869923.34,3342505.55,3836137.52,
2012-08-25,3589566.28,2784342.75,805223.53,22.43,2012,8,3,5,Saturday,1,2012-08,4270968.67,4794510.05,3338994.95,3776309.89,
2012-08-26,4280204.53,3476942.48,803262.05,18.77,2012,8,3,6,Sunday,1,2012-08,4324669.18,4765293.55,3406157.96,3759227.9,
2012-08-27,3038895.84,2365260.68,673635.16,22.17,2012,8,3,0,Monday,0,2012-08,4252936.12,4722358.18,3340189.66,3724614.5,
2012-08-28,9508676.62,7439851.59,2068825.03,21.76,2012,8,3,1,Tuesday,0,2012-08,5018820.89,4879174.08,3922402.08,3845288.03,
2012-08-29,9260558.32,7336294.54,1924263.78,20.78,2012,8,3,2,Wednesday,0,2012-08,5684945.96,4968321.66,4461520.11,3916660.86,
2012-08-30,10086534.1,7950911.72,2135622.38,21.17,2012,8,3,3,Thursday,0,2012-08,6343183.75,4999485.39,4997973.49,3943594.88,
2012-08-31,9104678.52,7277460.12,1827218.4,20.07,2012,8,3,4,Friday,0,2012-08,6981302.03,4998029.43,5518723.41,3942559.74,
2012-09-01,8560208.92,6738335.17,1821873.75,21.28,2012,9,3,5,Saturday,1,2012-09,7691393.84,4960288.83,6083579.47,3915920.87,
2012-09-02,2587099.44,1946097.28,641002.16,24.78,2012,9,3,6,Sunday,1,2012-09,7449521.68,4736616.48,5864887.3,3743497.16,
2012-09-03,3865505.01,3063431.08,802073.93,20.75,2012,9,3,0,Monday,0,2012-09,7567608.7,4652660.15,5964625.93,3676027.26,
2012-09-04,3645749.44,2876968.79,768780.65,21.09,2012,9,3,1,Tuesday,0,2012-09,6730047.68,4695544.32,5312785.53,3709812.45,
2012-09-05,2398185.51,1966376.48,431809.03,18.01,2012,9,3,2,Wednesday,0,2012-09,5749708.71,4654483.72,4545654.38,3677934.38,
2012-09-06,2858227.37,2147909.96,710317.41,24.85,2012,9,3,3,Thursday,0,2012-09,4717093.46,4675082.85,3716654.13,3690155.85,
2012-09-07,3282753.8,2580035.06,702718.74,21.41,2012,9,3,4,Friday,0,2012-09,3885389.93,4697256.19,3045593.4,3709590.14,
2012-09-08,3666204.89,2804001.32,862203.57,23.52,2012,9,3,5,Saturday,1,2012-09,3186246.49,4670173.31,2483545.71,3682334.42,
2012-09-09,4458501.42,3589475.8,869025.62,19.49,2012,9,3,6,Sunday,1,2012-09,3453589.63,4705040.13,2718314.07,3712007.63,
2012-09-10,4548962.79,3517300.88,1031661.91,22.68,2012,9,3,0,Monday,0,2012-09,3551226.46,4765585.41,2783152.61,3756962.06,
2012-09-11,4021565.55,3264364.41,757201.14,18.83,2012,9,3,1,Tuesday,0,2012-09,3604914.48,4786698.2,2838494.84,3777298.37,
2012-09-12,3335978.29,2673690.65,662287.64,19.85,2012,9,3,2,Wednesday,0,2012-09,3738884.87,4766958.48,2939539.73,3760102.56,
2012-09-13,2609609.29,2103806.97,505802.32,19.38,2012,9,3,3,Thursday,0,2012-09,3703368.0,4719481.72,2933239.3,3721622.83,
2012-09-14,3729228.43,2835412.27,893816.16,23.97,2012,9,3,4,Friday,0,2012-09,3767150.09,4717779.56,2969721.76,3719905.79,
2012-09-15,3605125.64,2849539.9,755585.74,20.96,2012,9,3,5,Saturday,1,2012-09,3758424.49,4662951.14,2976227.27,3674141.92,
2012-09-16,4452012.44,3561492.95,890519.49,20.0,2012,9,3,6,Sunday,1,2012-09,3757497.49,4675042.09,2972229.72,3684894.72,
2012-09-17,4811788.67,3932069.23,879719.44,18.28,2012,9,3,0,Monday,0,2012-09,3795044.04,4720434.52,3031482.34,3722333.13,
2012-09-18,5078878.07,4123200.89,955677.18,18.82,2012,9,3,1,Tuesday,0,2012-09,3946088.69,4759587.09,3154173.27,3759546.45,
2012-09-19,3680241.62,3014323.76,665917.86,18.09,2012,9,3,2,Wednesday,0,2012-09,3995269.17,4764227.57,3202835.14,3765789.28,
2012-09-20,3763143.75,3080273.62,682870.13,18.15,2012,9,3,3,Thursday,0,2012-09,4160059.8,4751416.25,3342330.37,3756319.58,
2012-09-21,3943768.14,2978697.93,965070.21,24.47,2012,9,3,4,Friday,0,2012-09,4190708.33,4729619.09,3362799.75,3736860.57,
2012-09-22,3872374.03,3011266.74,861107.29,22.24,2012,9,3,5,Saturday,1,2012-09,4228886.67,4676069.24,3385903.59,3697378.19,
2012-09-23,4118299.54,3294951.2,823348.34,19.99,2012,9,3,6,Sunday,1,2012-09,4181213.4,4658750.88,3347826.2,3686136.21,
2012-09-24,5733263.53,4585762.62,1147500.91,20.01,2012,9,3,0,Monday,0,2012-09,4312852.67,4730207.45,3441210.97,3746183.54,
2012-09-25,5639897.53,4502395.62,1137501.91,20.17,2012,9,3,1,Tuesday,0,2012-09,4392998.31,4775530.55,3495381.64,3780365.31,
2012-09-26,4592282.59,3670417.04,921865.55,20.07,2012,9,3,2,Wednesday,0,2012-09,4523289.87,4827310.11,3589109.25,3823870.52,
2012-09-27,7556892.66,6017108.13,1539784.53,20.38,2012,9,3,3,Thursday,0,2012-09,5065254.0,4762250.64,4008657.04,3776445.74,
2012-09-28,4892631.14,3884590.92,1008040.22,20.6,2012,9,3,4,Friday,0,2012-09,5200805.86,4616653.07,4138070.32,3661388.95,
2012-09-29,5304374.46,4170120.63,1134253.83,21.38,2012,9,3,5,Saturday,1,2012-09,5405377.35,4457247.75,4303620.88,3535362.58,
2012-09-30,4694379.86,3812737.52,881642.34,18.78,2012,9,3,6,Sunday,1,2012-09,5487674.54,4310237.79,4377590.35,3419871.83,
2012-10-01,4752532.1,3764447.04,988085.06,20.79,2012,10,4,0,Monday,0,2012-10,5347570.05,4183315.23,4260259.56,3320742.22,
2012-10-02,3233135.78,2566510.62,666625.16,20.62,2012,10,4,1,Tuesday,0,2012-10,5003746.94,4204849.78,3983704.56,3341422.67,
2012-10-03,3515132.03,2762823.63,752308.4,21.4,2012,10,4,2,Wednesday,0,2012-10,4849868.29,4193170.68,3854048.36,3331402.42,
2012-10-04,2398137.74,1902425.74,495712.0,20.67,2012,10,4,3,Thursday,0,2012-10,4112903.3,4151583.62,3266236.59,3298917.65,
2012-10-05,2665953.06,2064899.19,601053.87,22.55,2012,10,4,4,Friday,0,2012-10,3794806.43,4160509.21,3006280.62,3302201.74,
2012-10-06,2205266.94,1755004.4,450262.54,20.42,2012,10,4,5,Saturday,1,2012-10,3352076.79,4138743.86,2661264.02,3289104.89,
2012-10-07,3389598.07,2725469.75,664128.32,19.59,2012,10,4,6,Sunday,1,2012-10,3165679.39,4142305.34,2505940.05,3293952.71,
2012-10-08,4037039.45,3285493.04,751546.41,18.62,2012,10,4,0,Monday,0,2012-10,3063466.15,4154666.49,2437518.05,3310002.44,
2012-10-09,4298675.76,3472700.63,825975.13,19.21,2012,10,4,1,Tuesday,0,2012-10,3215686.15,4149338.96,2566973.77,3306109.93,
2012-10-10,3548716.67,2839202.59,709514.08,19.99,2012,10,4,2,Wednesday,0,2012-10,3220483.96,4115997.43,2577885.05,3283506.65,
2012-10-11,3421490.39,2765374.16,656116.23,19.18,2012,10,4,3,Thursday,0,2012-10,3366677.19,4095994.92,2701163.39,3266873.65,
2012-10-12,2380119.87,1830898.15,549221.72,23.08,2012,10,4,4,Friday,0,2012-10,3325843.88,4064132.98,2667734.67,3238780.56,
2012-10-13,2798011.44,2256579.15,541432.29,19.35,2012,10,4,5,Saturday,1,2012-10,3410521.66,4070413.05,2739388.21,3243872.97,
2012-10-14,3055629.78,2516987.32,538642.46,17.63,2012,10,4,6,Sunday,1,2012-10,3362811.91,4047959.76,2709605.01,3233258.8,
2012-10-15,3234517.3,2632811.8,601705.5,18.6,2012,10,4,0,Monday,0,2012-10,3248165.89,4035606.15,2616364.83,3226034.53,
2012-10-16,3549298.21,2763325.25,785972.96,22.14,2012,10,4,1,Tuesday,0,2012-10,3141111.95,4005515.67,2515025.49,3199428.94,
2012-10-17,3818048.0,3108682.75,709365.25,18.58,2012,10,4,2,Wednesday,0,2012-10,3179587.86,3972390.98,2553522.65,3171982.73,
2012-10-18,2909728.89,2301277.14,608451.75,20.91,2012,10,4,3,Thursday,0,2012-10,3106479.07,3900086.01,2487223.08,3111251.94,
2012-10-19,2877379.81,2352068.71,525311.1,18.26,2012,10,4,4,Friday,0,2012-10,3177516.2,3873323.95,2561676.02,3089176.77,
2012-10-20,3242557.3,2647331.71,595225.59,18.36,2012,10,4,5,Saturday,1,2012-10,3241022.76,3855971.07,2617497.81,3074745.37,
2012-10-21,2395609.91,1920246.47,475363.44,19.84,2012,10,4,6,Sunday,1,2012-10,3146734.2,3804365.79,2532249.12,3039463.66,
2012-10-22,3596158.34,2873316.18,722842.16,20.1,2012,10,4,0,Monday,0,2012-10,3198397.21,3795158.6,2566606.89,3034865.3,
2012-10-23,3999141.88,3151858.27,847283.61,21.19,2012,10,4,1,Tuesday,0,2012-10,3262660.59,3791186.68,2622111.6,3030095.54,
2012-10-24,3829179.99,3037851.31,791328.68,20.67,2012,10,4,2,Wednesday,0,2012-10,3264250.87,3727717.23,2611992.83,2978498.5,
2012-10-25,3104460.52,2528526.7,575933.82,18.55,2012,10,4,3,Thursday,0,2012-10,3292069.68,3643202.66,2644457.05,2912702.86,
2012-10-26,2138927.17,1671777.12,467150.05,21.84,2012,10,4,4,Friday,0,2012-10,3186576.44,3561424.15,2547272.54,2846081.53,
2012-10-27,2816872.34,2296869.06,520003.28,18.46,2012,10,4,5,Saturday,1,2012-10,3125764.31,3403423.47,2497206.44,2722073.56,
2012-10-28,6259883.83,5044146.85,1215736.98,19.42,2012,10,4,6,Sunday,1,2012-10,3677803.44,3448998.56,2943477.93,2760725.43,
2012-10-29,5424539.1,4294440.71,1130098.39,20.83,2012,10,4,0,Monday,0,2012-10,3939000.69,3453004.05,3146495.72,2764869.43,
2012-10-30,6347274.89,5049887.71,1297387.18,20.44,2012,10,4,1,Tuesday,0,2012-10,4274448.26,3508100.55,3417642.78,2806107.77,
2012-10-31,4942677.89,3871571.88,1071106.01,21.67,2012,10,4,2,Wednesday,0,2012-10,4433519.39,3514438.74,3536745.72,2809678.6,
2012-11-01,5536748.35,4440955.34,1095793.01,19.79,2012,11,4,3,Thursday,0,2012-11,4780989.08,3591225.83,3809949.81,2872160.09,
2012-11-02,1936831.08,1547786.14,389044.94,20.09,2012,11,4,4,Friday,0,2012-11,4752118.21,3538615.8,3792236.81,2831658.84,
2012-11-03,2911848.61,2151815.97,760032.64,26.1,2012,11,4,5,Saturday,1,2012-11,4765686.25,3555739.49,3771514.94,2839971.85,
2012-11-04,2658832.75,2131401.7,527431.05,19.84,2012,11,4,6,Sunday,1,2012-11,4251250.38,3555502.15,3355408.49,2842188.6,
2012-11-05,3332448.46,2732792.99,599655.47,17.99,2012,11,4,0,Monday,0,2012-11,3952380.29,3593074.87,3132315.96,2874781.55,
2012-11-06,3439495.01,2809375.18,630119.83,18.32,2012,11,4,1,Tuesday,0,2012-11,3536983.16,3594738.1,2812242.74,2877578.4,
2012-11-07,1969815.91,1538155.1,431660.81,21.91,2012,11,4,2,Wednesday,0,2012-11,3112288.6,3525830.65,2478897.49,2819333.8,
2012-11-08,2197716.17,1723412.77,474303.4,21.58,2012,11,4,3,Thursday,0,2012-11,2635284.0,3455798.66,2090677.12,2761024.21,
2012-11-09,2920310.06,2308918.6,611391.46,20.94,2012,11,4,4,Friday,0,2012-11,2775781.0,3434851.78,2199410.33,2743348.07,
2012-11-10,3124993.27,2475389.25,649604.02,20.79,2012,11,4,5,Saturday,1,2012-11,2806230.23,3424968.54,2245635.08,2733681.91,
2012-11-11,3484874.3,2713727.18,771147.12,22.13,2012,11,4,6,Sunday,1,2012-11,2924236.17,3461793.69,2328824.44,2763109.54,
2012-11-12,3806978.06,3077336.49,729641.57,19.17,2012,11,4,0,Monday,0,2012-11,2992026.11,3495425.91,2378044.94,2790468.12,
2012-11-13,3848498.06,3048755.92,799742.14,20.78,2012,11,4,1,Tuesday,0,2012-11,3050455.12,3521854.85,2412242.19,2808193.74,
2012-11-14,3213518.64,2550177.92,663340.72,20.64,2012,11,4,2,Wednesday,0,2012-11,3228126.94,3521154.89,2556816.88,2805439.28,
2012-11-15,2996358.37,2282178.26,714180.11,23.83,2012,11,4,3,Thursday,0,2012-11,3342218.68,3502723.57,2636640.52,2789401.05,
2012-11-16,2851503.98,2255928.16,595575.82,20.89,2012,11,4,4,Friday,0,2012-11,3332389.24,3470505.43,2629070.45,2760975.89,
2012-11-17,3258479.4,2499839.57,758639.83,23.28,2012,11,4,5,Saturday,1,2012-11,3351458.69,3482130.45,2632563.36,2767594.64,
2012-11-18,3292697.97,2632996.71,659701.26,20.04,2012,11,4,6,Sunday,1,2012-11,3324004.93,3495974.39,2621030.43,2776958.91,
2012-11-19,4654711.93,3714724.53,939987.4,20.19,2012,11,4,0,Monday,0,2012-11,3445109.76,3543046.21,2712085.87,2812538.67,
2012-11-20,3532139.01,2841184.71,690954.3,19.56,2012,11,4,1,Tuesday,0,2012-11,3399915.61,3580930.51,2682432.84,2843236.61,
2012-11-21,3144567.59,2465022.82,679544.77,21.61,2012,11,4,2,Wednesday,0,2012-11,3390065.46,3565877.49,2670267.82,2829626.83,
2012-11-22,2661394.83,2082526.75,578868.08,21.75,2012,11,4,3,Thursday,0,2012-11,3342213.53,3521285.92,2641746.18,2793982.45,
2012-11-23,3625609.77,2879673.14,745936.63,20.57,2012,11,4,4,Friday,0,2012-11,3452800.07,3514500.24,2730852.6,2788709.84,
2012-11-24,2283866.51,1759438.38,524428.13,22.96,2012,11,4,5,Saturday,1,2012-11,3313569.66,3487147.11,2625081.01,2763073.56,
2012-11-25,2891169.43,2288045.69,603123.74,20.86,2012,11,4,6,Sunday,1,2012-11,3256208.44,3512221.85,2575802.29,2783615.85,
2012-11-26,3626699.25,2942841.67,683857.58,18.86,2012,11,4,0,Monday,0,2012-11,3109349.48,3539216.08,2465533.31,2805148.27,
2012-11-27,4703189.22,3751057.26,952131.96,20.24,2012,11,4,1,Tuesday,0,2012-11,3276642.37,3487326.26,2595515.1,2762045.28,
2012-11-28,3980270.66,3143037.5,837233.16,21.03,2012,11,4,2,Wednesday,0,2012-11,3396028.52,3439183.98,2692374.34,2723665.18,
2012-11-29,3116036.61,2564940.27,551096.34,17.69,2012,11,4,3,Thursday,0,2012-11,3460977.35,3331476.04,2761290.56,2640833.6,
2012-11-30,3184691.98,2466641.44,718050.54,22.55,2012,11,4,4,Friday,0,2012-11,3397989.09,3272876.51,2702286.03,2594002.58,
2012-12-01,3064822.76,2435991.34,628831.42,20.52,2012,12,4,5,Saturday,1,2012-12,3509554.27,3190478.99,2798936.45,2527170.45,
2012-12-02,1765509.34,1464812.23,300697.11,17.03,2012,12,4,6,Sunday,1,2012-12,3348745.69,3184768.26,2681331.67,2524404.65,
2012-12-03,2315389.05,1807129.65,508259.4,21.95,2012,12,4,0,Monday,0,2012-12,3161415.66,3164886.28,2519087.1,2512915.11,
2012-12-04,2382954.42,1864688.02,518266.4,21.75,2012,12,4,1,Tuesday,0,2012-12,2829953.55,3155690.33,2249605.78,2504024.65,
2012-12-05,2286277.45,1849992.69,436284.76,19.08,2012,12,4,2,Wednesday,0,2012-12,2587954.52,3120817.97,2064885.09,2474597.97,
2012-12-06,2733678.5,2184618.1,549060.4,20.09,2012,12,4,3,Thursday,0,2012-12,2533331.93,3097290.75,2010553.35,2453772.74,
2012-12-07,2065198.04,1633326.72,431871.32,20.91,2012,12,4,4,Friday,0,2012-12,2373404.22,3100470.15,1891508.39,2456945.12,
2012-12-08,2087384.34,1719369.91,368014.43,17.63,2012,12,4,5,Saturday,1,2012-12,2233770.16,3096792.43,1789133.9,2456810.36,
2012-12-09,2430122.78,1883727.02,546395.76,22.48,2012,12,4,6,Sunday,1,2012-12,2328714.94,3080452.85,1848978.87,2442637.31,
2012-12-10,2542389.69,2015472.58,526917.11,20.73,2012,12,4,0,Monday,0,2012-12,2361143.6,3061032.73,1878742.15,2427306.75,
2012-12-11,3699430.17,3001083.16,698347.01,18.88,2012,12,4,1,Tuesday,0,2012-12,2549211.57,3068184.59,2041084.31,2436885.29,
2012-12-12,4386420.92,3545221.89,841199.03,19.18,2012,12,4,2,Wednesday,0,2012-12,2849232.06,3087499.36,2283259.91,2452481.47,
2012-12-13,2326824.81,1839144.84,487679.97,20.96,2012,12,4,3,Thursday,0,2012-12,2791110.11,3036776.91,2233906.59,2412161.1,
2012-12-14,2659317.57,2101555.8,557761.77,20.97,2012,12,4,4,Friday,0,2012-12,2875984.33,3018303.55,2300796.46,2397207.03,
2012-12-15,3385542.75,2693057.28,692485.47,20.45,2012,12,4,5,Saturday,1,2012-12,3061435.53,3031276.36,2439894.65,2410902.99,
2012-12-16,3484853.43,2706611.68,778241.75,22.33,2012,12,4,6,Sunday,1,2012-12,3212111.33,3052388.01,2557449.6,2425925.78,
2012-12-17,4281691.85,3433745.61,847946.24,19.8,2012,12,4,0,Monday,0,2012-12,3460583.07,3086495.09,2760060.04,2457055.98,
2012-12-18,4394537.67,3473710.24,920827.43,20.95,2012,12,4,1,Tuesday,0,2012-12,3559884.14,3123223.08,2827578.19,2485079.76,
2012-12-19,3785472.73,3004383.53,781089.2,20.63,2012,12,4,2,Wednesday,0,2012-12,3474034.4,3094248.44,2750315.57,2461401.73,
2012-12-20,3905985.95,3132486.67,773499.28,19.8,2012,12,4,3,Thursday,0,2012-12,3699628.85,3106710.0,2935078.69,2471111.8,
2012-12-21,3966203.09,3174444.37,791758.72,19.96,2012,12,4,4,Friday,0,2012-12,3886326.78,3134097.85,3088348.48,2494759.18,
2012-12-22,3225123.87,2559516.54,665607.33,20.64,2012,12,4,5,Saturday,1,2012-12,3863409.8,3152888.82,3069271.23,2510658.84,
2012-12-23,2151580.15,1770780.57,380799.58,17.7,2012,12,4,6,Sunday,1,2012-12,3672942.19,3103754.5,2935581.08,2473695.76,
2012-12-24,3297376.6,2599138.83,698237.77,21.18,2012,12,4,0,Monday,0,2012-12,3532325.72,3137538.17,2816351.54,2501685.77,
2012-12-25,4917024.98,3856446.89,1060578.09,21.57,2012,12,4,1,Tuesday,0,2012-12,3606966.77,3205066.69,2871028.2,2553965.81,
2012-12-26,3285221.25,2658633.45,626587.8,19.07,2012,12,4,2,Wednesday,0,2012-12,3535502.27,3193684.09,2821635.33,2544492.2,
2012-12-27,4994041.71,3924374.73,1069666.98,21.42,2012,12,4,3,Thursday,0,2012-12,3690938.81,3203379.17,2934762.2,2550269.45,
2012-12-28,8573663.31,6682336.48,1891326.83,22.06,2012,12,4,4,Friday,0,2012-12,4349147.41,3356492.26,3435889.64,2668246.08,
2012-12-29,7842913.37,6260959.87,1581953.5,20.17,2012,12,4,5,Saturday,1,2012-12,5008831.62,3514054.82,3964667.26,2791446.74,
2012-12-30,6511908.92,5180121.12,1331787.8,20.45,2012,12,4,6,Sunday,1,2012-12,5631735.73,3624962.05,4451715.91,2881896.06,
2012-12-31,5573749.22,4432224.44,1141524.78,20.48,2012,12,4,0,Monday,0,2012-12,5956931.82,3708592.93,4713585.28,2948437.16,
2013-01-01,5304546.99,4156070.2,1148476.79,21.65,2013,1,1,1,Tuesday,0,2013-01,6012292.11,3826560.85,4756388.61,3038145.76,
2013-01-02,1606940.44,1237497.84,369442.6,22.99,2013,1,1,2,Wednesday,0,2013-01,5772537.71,3802945.9,4553369.24,3019158.04,
2013-01-03,2281680.01,1832133.02,449546.99,19.7,2013,1,1,3,Thursday,0,2013-01,5385057.47,3799570.09,4254477.57,3018072.87,
2013-01-04,2376895.46,1940747.07,436148.39,18.35,2013,1,1,4,Friday,0,2013-01,4499804.92,3802590.69,3577107.65,3021098.02,
