snapshot_date,product_id,stock_on_hand,units_received,units_sold,stockout_days,days_of_supply,fill_rate,stockout_flag,overstock_flag,reorder_flag,sell_through_rate,product_name,category,segment,year,month,product_price,product_cogs,inventory_value_retail,inventory_value_cost,inventory_health
2018-05-31,3,72,20,17,2,127.1,0.9333,1,1,0,0.191,DragonWear MA-03,Casual,All-weather,2018,5,10831.3771884655,10289.808329042224,779859.16,740866.2,Stockout
2018-06-30,3,75,19,16,1,140.6,0.9667,1,1,0,0.1758,DragonWear MA-03,Casual,All-weather,2018,6,10831.3771884655,10289.808329042224,812353.29,771735.62,Stockout
2018-07-31,3,78,19,16,2,146.2,0.9333,1,1,0,0.1702,DragonWear MA-03,Casual,All-weather,2018,7,10831.3771884655,10289.808329042224,844847.42,802605.05,Stockout
2018-08-31,3,81,21,18,1,135.0,0.9667,1,1,0,0.1818,DragonWear MA-03,Casual,All-weather,2018,8,10831.3771884655,10289.808329042224,877341.55,833474.47,Stockout
2018-09-30,3,82,15,14,0,175.7,1.0,0,1,0,0.1458,DragonWear MA-03,Casual,All-weather,2018,9,10831.3771884655,10289.808329042224,888172.93,843764.28,Overstock
2018-10-31,3,82,8,8,1,307.5,0.9667,1,1,0,0.0889,DragonWear MA-03,Casual,All-weather,2018,10,10831.3771884655,10289.808329042224,888172.93,843764.28,Stockout
2018-11-30,3,83,8,7,2,355.7,0.9333,1,1,0,0.0778,DragonWear MA-03,Casual,All-weather,2018,11,10831.3771884655,10289.808329042224,899004.31,854054.09,Stockout
2018-12-31,3,84,5,4,2,630.0,0.9333,1,1,0,0.0455,DragonWear MA-03,Casual,All-weather,2018,12,10831.3771884655,10289.808329042224,909835.68,864343.9,Stockout
2019-01-31,3,85,6,5,2,510.0,0.9333,1,1,0,0.0556,DragonWear MA-03,Casual,All-weather,2019,1,10831.3771884655,10289.808329042224,920667.06,874633.71,Stockout
2019-02-28,3,86,7,6,0,430.0,1.0,0,1,0,0.0652,DragonWear MA-03,Casual,All-weather,2019,2,10831.3771884655,10289.808329042224,931498.44,884923.52,Overstock
2019-03-31,3,88,11,9,2,293.3,0.9333,1,1,0,0.0928,DragonWear MA-03,Casual,All-weather,2019,3,10831.3771884655,10289.808329042224,953161.19,905503.13,Stockout
2019-04-30,3,91,17,14,2,195.0,0.9333,1,1,0,0.1333,DragonWear MA-03,Casual,All-weather,2019,4,10831.3771884655,10289.808329042224,985655.32,936372.56,Stockout
2019-05-31,3,93,11,9,0,310.0,1.0,0,1,0,0.0882,DragonWear MA-03,Casual,All-weather,2019,5,10831.3771884655,10289.808329042224,1007318.08,956952.17,Overstock
2019-06-30,3,94,12,11,0,256.4,1.0,0,1,0,0.1048,DragonWear MA-03,Casual,All-weather,2019,6,10831.3771884655,10289.808329042224,1018149.46,967241.98,Overstock
2019-07-31,3,96,15,13,1,221.5,0.9667,1,1,0,0.1193,DragonWear MA-03,Casual,All-weather,2019,7,10831.3771884655,10289.808329042224,1039812.21,987821.6,Stockout
2019-08-31,3,98,11,9,0,326.7,1.0,0,1,0,0.0841,DragonWear MA-03,Casual,All-weather,2019,8,10831.3771884655,10289.808329042224,1061474.96,1008401.22,Overstock
2019-09-30,3,98,4,4,0,735.0,1.0,0,1,0,0.0392,DragonWear MA-03,Casual,All-weather,2019,9,10831.3771884655,10289.808329042224,1061474.96,1008401.22,Overstock
2019-10-31,3,99,10,9,1,330.0,0.9667,1,1,0,0.0833,DragonWear MA-03,Casual,All-weather,2019,10,10831.3771884655,10289.808329042224,1072306.34,1018691.02,Stockout
2019-11-30,3,99,4,4,1,742.5,0.9667,1,1,0,0.0388,DragonWear MA-03,Casual,All-weather,2019,11,10831.3771884655,10289.808329042224,1072306.34,1018691.02,Stockout
2019-12-31,3,101,13,11,1,275.5,0.9667,1,1,0,0.0982,DragonWear MA-03,Casual,All-weather,2019,12,10831.3771884655,10289.808329042224,1093969.1,1039270.64,Stockout
2020-01-31,3,101,2,2,2,1515.0,0.9333,1,1,0,0.0194,DragonWear MA-03,Casual,All-weather,2020,1,10831.3771884655,10289.808329042224,1093969.1,1039270.64,Stockout
2020-02-29,3,102,9,8,1,382.5,0.9667,1,1,0,0.0727,DragonWear MA-03,Casual,All-weather,2020,2,10831.3771884655,10289.808329042224,1104800.47,1049560.45,Stockout
2020-03-31,3,105,15,12,1,262.5,0.9667,1,1,0,0.1026,DragonWear MA-03,Casual,All-weather,2020,3,10831.3771884655,10289.808329042224,1137294.6,1080429.87,Stockout
2020-04-30,3,108,21,18,1,180.0,0.9667,1,1,0,0.1429,DragonWear MA-03,Casual,All-weather,2020,4,10831.3771884655,10289.808329042224,1169788.74,1111299.3,Stockout
2020-05-31,3,110,13,11,2,300.0,0.9333,1,1,0,0.0909,DragonWear MA-03,Casual,All-weather,2020,5,10831.3771884655,10289.808329042224,1191451.49,1131878.92,Stockout
2020-06-30,3,112,16,14,0,240.0,1.0,0,1,0,0.1111,DragonWear MA-03,Casual,All-weather,2020,6,10831.3771884655,10289.808329042224,1213114.25,1152458.53,Overstock
2020-07-31,3,113,8,7,2,484.3,0.9333,1,1,0,0.0583,DragonWear MA-03,Casual,All-weather,2020,7,10831.3771884655,10289.808329042224,1223945.62,1162748.34,Stockout
2020-08-31,3,114,9,8,2,427.5,0.9333,1,1,0,0.0656,DragonWear MA-03,Casual,All-weather,2020,8,10831.3771884655,10289.808329042224,1234777.0,1173038.15,Stockout
2020-09-30,3,114,6,6,0,570.0,1.0,0,1,0,0.05,DragonWear MA-03,Casual,All-weather,2020,9,10831.3771884655,10289.808329042224,1234777.0,1173038.15,Overstock
2020-10-31,3,114,4,4,1,855.0,0.9667,1,1,0,0.0339,DragonWear MA-03,Casual,All-weather,2020,10,10831.3771884655,10289.808329042224,1234777.0,1173038.15,Stockout
2020-11-30,3,115,6,5,1,690.0,0.9667,1,1,0,0.0417,DragonWear MA-03,Casual,All-weather,2020,11,10831.3771884655,10289.808329042224,1245608.38,1183327.96,Stockout
2020-12-31,3,116,11,10,1,348.0,0.9667,1,1,0,0.0794,DragonWear MA-03,Casual,All-weather,2020,12,10831.3771884655,10289.808329042224,1256439.75,1193617.77,Stockout
2021-01-31,3,117,9,8,0,438.8,1.0,0,1,0,0.064,DragonWear MA-03,Casual,All-weather,2021,1,10831.3771884655,10289.808329042224,1267271.13,1203907.57,Overstock
2021-02-28,3,118,8,7,1,505.7,0.9667,1,1,0,0.056,DragonWear MA-03,Casual,All-weather,2021,2,10831.3771884655,10289.808329042224,1278102.51,1214197.38,Stockout
2021-03-31,3,119,8,7,2,510.0,0.9333,1,1,0,0.0556,DragonWear MA-03,Casual,All-weather,2021,3,10831.3771884655,10289.808329042224,1288933.89,1224487.19,Stockout
2021-04-30,3,121,15,13,2,279.2,0.9333,1,1,0,0.097,DragonWear MA-03,Casual,All-weather,2021,4,10831.3771884655,10289.808329042224,1310596.64,1245066.81,Stockout
2021-05-31,3,124,18,15,2,248.0,0.9333,1,1,0,0.1079,DragonWear MA-03,Casual,All-weather,2021,5,10831.3771884655,10289.808329042224,1343090.77,1275936.23,Stockout
2021-06-30,3,124,9,9,2,413.3,0.9333,1,1,0,0.0677,DragonWear MA-03,Casual,All-weather,2021,6,10831.3771884655,10289.808329042224,1343090.77,1275936.23,Stockout
2021-07-31,3,125,11,10,0,375.0,1.0,0,1,0,0.0741,DragonWear MA-03,Casual,All-weather,2021,7,10831.3771884655,10289.808329042224,1353922.15,1286226.04,Overstock
2021-08-31,3,125,4,4,2,937.5,0.9333,1,1,0,0.031,DragonWear MA-03,Casual,All-weather,2021,8,10831.3771884655,10289.808329042224,1353922.15,1286226.04,Stockout
2021-09-30,3,126,12,11,0,343.6,1.0,0,1,0,0.0803,DragonWear MA-03,Casual,All-weather,2021,9,10831.3771884655,10289.808329042224,1364753.53,1296515.85,Overstock
2021-10-31,3,127,12,11,1,346.4,0.9667,1,1,0,0.0797,DragonWear MA-03,Casual,All-weather,2021,10,10831.3771884655,10289.808329042224,1375584.9,1306805.66,Stockout
2021-11-30,3,129,12,10,0,387.0,1.0,0,1,0,0.0719,DragonWear MA-03,Casual,All-weather,2021,11,10831.3771884655,10289.808329042224,1397247.66,1327385.27,Overstock
2021-12-31,3,130,12,11,2,354.5,0.9333,1,1,0,0.078,DragonWear MA-03,Casual,All-weather,2021,12,10831.3771884655,10289.808329042224,1408079.03,1337675.08,Stockout
2022-01-31,3,131,8,7,1,561.4,0.9667,1,1,0,0.0507,DragonWear MA-03,Casual,All-weather,2022,1,10831.3771884655,10289.808329042224,1418910.41,1347964.89,Stockout
2022-02-28,3,133,11,9,0,443.3,1.0,0,1,0,0.0634,DragonWear MA-03,Casual,All-weather,2022,2,10831.3771884655,10289.808329042224,1440573.17,1368544.51,Overstock
2022-03-31,3,135,14,12,0,337.5,1.0,0,1,0,0.0816,DragonWear MA-03,Casual,All-weather,2022,3,10831.3771884655,10289.808329042224,1462235.92,1389124.12,Overstock
2022-04-30,3,138,17,14,2,295.7,0.9333,1,1,0,0.0921,DragonWear MA-03,Casual,All-weather,2022,4,10831.3771884655,10289.808329042224,1494730.05,1419993.55,Stockout
2022-05-31,3,139,6,5,0,834.0,1.0,0,1,0,0.0347,DragonWear MA-03,Casual,All-weather,2022,5,10831.3771884655,10289.808329042224,1505561.43,1430283.36,Overstock
2022-06-30,3,143,24,20,1,214.5,0.9667,1,1,0,0.1227,DragonWear MA-03,Casual,All-weather,2022,6,10831.3771884655,10289.808329042224,1548886.94,1471442.59,Stockout
2022-07-31,3,144,8,7,1,617.1,0.9667,1,1,0,0.0464,DragonWear MA-03,Casual,All-weather,2022,7,10831.3771884655,10289.808329042224,1559718.32,1481732.4,Stockout
2022-08-31,3,148,18,14,0,317.1,1.0,0,1,0,0.0864,DragonWear MA-03,Casual,All-weather,2022,8,10831.3771884655,10289.808329042224,1603043.82,1522891.63,Overstock
2022-09-30,3,149,10,9,0,496.7,1.0,0,1,0,0.057,DragonWear MA-03,Casual,All-weather,2022,9,10831.3771884655,10289.808329042224,1613875.2,1533181.44,Overstock
2022-10-31,3,150,12,11,0,409.1,1.0,0,1,0,0.0683,DragonWear MA-03,Casual,All-weather,2022,10,10831.3771884655,10289.808329042224,1624706.58,1543471.25,Overstock
2022-11-30,3,151,5,4,1,1132.5,0.9667,1,1,0,0.0258,DragonWear MA-03,Casual,All-weather,2022,11,10831.3771884655,10289.808329042224,1635537.96,1553761.06,Stockout
2022-12-31,3,151,5,5,2,906.0,0.9333,1,1,0,0.0321,DragonWear MA-03,Casual,All-weather,2022,12,10831.3771884655,10289.808329042224,1635537.96,1553761.06,Stockout
2012-07-31,4,22,8,7,2,94.3,0.9333,1,1,0,0.2414,DragonWear MA-04,Casual,All-weather,2012,7,9610.756521739131,5604.032127826088,211436.64,123288.71,Stockout
2012-08-31,4,24,17,15,1,48.0,0.9667,1,0,0,0.3846,DragonWear MA-04,Casual,All-weather,2012,8,9610.756521739131,5604.032127826088,230658.16,134496.77,Stockout
2012-09-30,4,25,7,6,2,125.0,0.9333,1,1,0,0.1935,DragonWear MA-04,Casual,All-weather,2012,9,9610.756521739131,5604.032127826088,240268.91,140100.8,Stockout
2012-10-31,4,26,7,6,1,130.0,0.9667,1,1,0,0.1875,DragonWear MA-04,Casual,All-weather,2012,10,9610.756521739131,5604.032127826088,249879.67,145704.84,Stockout
2012-11-30,4,27,7,6,0,135.0,1.0,0,1,0,0.1818,DragonWear MA-04,Casual,All-weather,2012,11,9610.756521739131,5604.032127826088,259490.43,151308.87,Overstock
2012-12-31,4,28,5,4,0,210.0,1.0,0,1,0,0.125,DragonWear MA-04,Casual,All-weather,2012,12,9610.756521739131,5604.032127826088,269101.18,156912.9,Overstock
2013-01-31,4,30,11,9,1,100.0,0.9667,1,1,0,0.2308,DragonWear MA-04,Casual,All-weather,2013,1,9610.756521739131,5604.032127826088,288322.7,168120.96,Stockout
2013-02-28,4,32,14,12,1,80.0,0.9667,1,0,0,0.2727,DragonWear MA-04,Casual,All-weather,2013,2,9610.756521739131,5604.032127826088,307544.21,179329.03,Stockout
2013-03-31,4,32,1,1,0,960.0,1.0,0,1,0,0.0303,DragonWear MA-04,Casual,All-weather,2013,3,9610.756521739131,5604.032127826088,307544.21,179329.03,Overstock
2013-04-30,4,33,10,9,0,110.0,1.0,0,1,0,0.2143,DragonWear MA-04,Casual,All-weather,2013,4,9610.756521739131,5604.032127826088,317154.97,184933.06,Overstock
2013-05-31,4,33,4,4,2,247.5,0.9333,1,1,0,0.1081,DragonWear MA-04,Casual,All-weather,2013,5,9610.756521739131,5604.032127826088,317154.97,184933.06,Stockout
2013-06-30,4,34,10,9,1,113.3,0.9667,1,1,0,0.2093,DragonWear MA-04,Casual,All-weather,2013,6,9610.756521739131,5604.032127826088,326765.72,190537.09,Stockout
2013-07-31,4,35,11,10,1,105.0,0.9667,1,1,0,0.2222,DragonWear MA-04,Casual,All-weather,2013,7,9610.756521739131,5604.032127826088,336376.48,196141.12,Stockout
2013-08-31,4,36,14,13,0,83.1,1.0,0,0,0,0.2653,DragonWear MA-04,Casual,All-weather,2013,8,9610.756521739131,5604.032127826088,345987.23,201745.16,Healthy
2013-09-30,4,37,8,7,2,158.6,0.9333,1,1,0,0.1591,DragonWear MA-04,Casual,All-weather,2013,9,9610.756521739131,5604.032127826088,355597.99,207349.19,Stockout
2013-10-31,4,38,14,13,0,87.7,1.0,0,0,0,0.2549,DragonWear MA-04,Casual,All-weather,2013,10,9610.756521739131,5604.032127826088,365208.75,212953.22,Healthy
2013-11-30,4,38,4,4,2,285.0,0.9333,1,1,0,0.0952,DragonWear MA-04,Casual,All-weather,2013,11,9610.756521739131,5604.032127826088,365208.75,212953.22,Stockout
2013-12-31,4,39,8,7,1,167.1,0.9667,1,1,0,0.1522,DragonWear MA-04,Casual,All-weather,2013,12,9610.756521739131,5604.032127826088,374819.5,218557.25,Stockout
2014-01-31,4,40,9,8,2,150.0,0.9333,1,1,0,0.1667,DragonWear MA-04,Casual,All-weather,2014,1,9610.756521739131,5604.032127826088,384430.26,224161.29,Stockout
2014-02-28,4,40,2,2,2,600.0,0.9333,1,1,0,0.0476,DragonWear MA-04,Casual,All-weather,2014,2,9610.756521739131,5604.032127826088,384430.26,224161.29,Stockout
2014-03-31,4,40,3,3,0,400.0,1.0,0,1,0,0.0698,DragonWear MA-04,Casual,All-weather,2014,3,9610.756521739131,5604.032127826088,384430.26,224161.29,Overstock
2014-04-30,4,40,3,3,1,400.0,0.9667,1,1,0,0.0698,DragonWear MA-04,Casual,All-weather,2014,4,9610.756521739131,5604.032127826088,384430.26,224161.29,Stockout
2014-05-31,4,40,2,2,0,600.0,1.0,0,1,0,0.0476,DragonWear MA-04,Casual,All-weather,2014,5,9610.756521739131,5604.032127826088,384430.26,224161.29,Overstock
2014-06-30,4,41,9,8,1,153.8,0.9667,1,1,0,0.1633,DragonWear MA-04,Casual,All-weather,2014,6,9610.756521739131,5604.032127826088,394041.02,229765.32,Stockout
2014-07-31,4,42,5,4,2,315.0,0.9333,1,1,0,0.087,DragonWear MA-04,Casual,All-weather,2014,7,9610.756521739131,5604.032127826088,403651.77,235369.35,Stockout
2014-08-31,4,43,7,6,2,215.0,0.9333,1,1,0,0.1224,DragonWear MA-04,Casual,All-weather,2014,8,9610.756521739131,5604.032127826088,413262.53,240973.38,Stockout
2014-09-30,4,43,3,3,1,430.0,0.9667,1,1,0,0.0652,DragonWear MA-04,Casual,All-weather,2014,9,9610.756521739131,5604.032127826088,413262.53,240973.38,Stockout
2014-11-30,4,43,1,1,2,1290.0,0.9333,1,1,0,0.0227,DragonWear MA-04,Casual,All-weather,2014,11,9610.756521739131,5604.032127826088,413262.53,240973.38,Stockout
2014-12-31,4,43,1,1,1,1290.0,0.9667,1,1,0,0.0227,DragonWear MA-04,Casual,All-weather,2014,12,9610.756521739131,5604.032127826088,413262.53,240973.38,Stockout
2015-03-31,4,43,2,2,2,645.0,0.9333,1,1,0,0.0444,DragonWear MA-04,Casual,All-weather,2015,3,9610.756521739131,5604.032127826088,413262.53,240973.38,Stockout
2015-04-30,4,43,3,3,0,430.0,1.0,0,1,0,0.0652,DragonWear MA-04,Casual,All-weather,2015,4,9610.756521739131,5604.032127826088,413262.53,240973.38,Overstock
2015-06-30,4,43,2,2,0,645.0,1.0,0,1,0,0.0444,DragonWear MA-04,Casual,All-weather,2015,6,9610.756521739131,5604.032127826088,413262.53,240973.38,Overstock
2015-09-30,4,43,2,2,2,645.0,0.9333,1,1,0,0.0444,DragonWear MA-04,Casual,All-weather,2015,9,9610.756521739131,5604.032127826088,413262.53,240973.38,Stockout
2015-10-31,4,44,7,6,1,220.0,0.9667,1,1,0,0.12,DragonWear MA-04,Casual,All-weather,2015,10,9610.756521739131,5604.032127826088,422873.29,246577.41,Stockout
2015-11-30,4,44,1,1,2,1320.0,0.9333,1,1,0,0.0222,DragonWear MA-04,Casual,All-weather,2015,11,9610.756521739131,5604.032127826088,422873.29,246577.41,Stockout
2015-12-31,4,44,1,1,1,1320.0,0.9667,1,1,0,0.0222,DragonWear MA-04,Casual,All-weather,2015,12,9610.756521739131,5604.032127826088,422873.29,246577.41,Stockout
2016-02-29,4,44,2,2,1,660.0,0.9667,1,1,0,0.0435,DragonWear MA-04,Casual,All-weather,2016,2,9610.756521739131,5604.032127826088,422873.29,246577.41,Stockout
2016-03-31,4,44,1,1,0,1320.0,1.0,0,1,0,0.0222,DragonWear MA-04,Casual,All-weather,2016,3,9610.756521739131,5604.032127826088,422873.29,246577.41,Overstock
2016-04-30,4,44,3,3,0,440.0,1.0,0,1,0,0.0638,DragonWear MA-04,Casual,All-weather,2016,4,9610.756521739131,5604.032127826088,422873.29,246577.41,Overstock
2016-07-31,4,44,1,1,0,1320.0,1.0,0,1,0,0.0222,DragonWear MA-04,Casual,All-weather,2016,7,9610.756521739131,5604.032127826088,422873.29,246577.41,Overstock
2013-02-28,5,3,1,1,1,90.0,0.9667,1,0,0,0.25,DragonWear MA-05,Casual,All-weather,2013,2,8946.0,8498.699999999999,26838.0,25496.1,Stockout
2013-03-31,5,3,1,1,2,90.0,0.9333,1,0,0,0.25,DragonWear MA-05,Casual,All-weather,2013,3,8946.0,8498.699999999999,26838.0,25496.1,Stockout
2019-02-28,7,3,1,1,0,90.0,1.0,0,0,0,0.25,DragonWear MA-07,Casual,All-weather,2019,2,5306.9975,3533.92963525,15920.99,10601.79,Healthy
2019-03-31,7,3,3,3,2,30.0,0.9333,1,0,0,0.5,DragonWear MA-07,Casual,All-weather,2019,3,5306.9975,3533.92963525,15920.99,10601.79,Stockout
2019-04-30,7,3,4,4,1,22.5,0.9667,1,0,0,0.5714,DragonWear MA-07,Casual,All-weather,2019,4,5306.9975,3533.92963525,15920.99,10601.79,Stockout
2019-05-31,7,3,3,3,1,30.0,0.9667,1,0,0,0.5,DragonWear MA-07,Casual,All-weather,2019,5,5306.9975,3533.92963525,15920.99,10601.79,Stockout
2019-07-31,7,3,3,3,0,30.0,1.0,0,0,0,0.5,DragonWear MA-07,Casual,All-weather,2019,7,5306.9975,3533.92963525,15920.99,10601.79,Healthy
2019-09-30,7,3,1,1,0,90.0,1.0,0,0,0,0.25,DragonWear MA-07,Casual,All-weather,2019,9,5306.9975,3533.92963525,15920.99,10601.79,Healthy
2019-11-30,7,3,1,1,0,90.0,1.0,0,0,0,0.25,DragonWear MA-07,Casual,All-weather,2019,11,5306.9975,3533.92963525,15920.99,10601.79,Healthy
2020-01-31,7,3,1,1,2,90.0,0.9333,1,0,0,0.25,DragonWear MA-07,Casual,All-weather,2020,1,5306.9975,3533.92963525,15920.99,10601.79,Stockout
2020-02-29,7,3,1,1,1,90.0,0.9667,1,0,0,0.25,DragonWear MA-07,Casual,All-weather,2020,2,5306.9975,3533.92963525,15920.99,10601.79,Stockout
2020-03-31,7,3,2,2,0,45.0,1.0,0,0,0,0.4,DragonWear MA-07,Casual,All-weather,2020,3,5306.9975,3533.92963525,15920.99,10601.79,Healthy
2020-04-30,7,3,3,3,1,30.0,0.9667,1,0,0,0.5,DragonWear MA-07,Casual,All-weather,2020,4,5306.9975,3533.92963525,15920.99,10601.79,Stockout
2020-07-31,7,3,1,1,1,90.0,0.9667,1,0,0,0.25,DragonWear MA-07,Casual,All-weather,2020,7,5306.9975,3533.92963525,15920.99,10601.79,Stockout
2020-09-30,7,3,3,3,2,30.0,0.9333,1,0,0,0.5,DragonWear MA-07,Casual,All-weather,2020,9,5306.9975,3533.92963525,15920.99,10601.79,Stockout
2020-10-31,7,3,1,1,1,90.0,0.9667,1,0,0,0.25,DragonWear MA-07,Casual,All-weather,2020,10,5306.9975,3533.92963525,15920.99,10601.79,Stockout
2020-11-30,7,3,1,1,1,90.0,0.9667,1,0,0,0.25,DragonWear MA-07,Casual,All-weather,2020,11,5306.9975,3533.92963525,15920.99,10601.79,Stockout
2021-01-31,7,3,2,2,0,45.0,1.0,0,0,0,0.4,DragonWear MA-07,Casual,All-weather,2021,1,5306.9975,3533.92963525,15920.99,10601.79,Healthy
2021-02-28,7,3,2,2,0,45.0,1.0,0,0,0,0.4,DragonWear MA-07,Casual,All-weather,2021,2,5306.9975,3533.92963525,15920.99,10601.79,Healthy
2021-09-30,7,3,2,2,2,45.0,0.9333,1,0,0,0.4,DragonWear MA-07,Casual,All-weather,2021,9,5306.9975,3533.92963525,15920.99,10601.79,Stockout
2021-10-31,7,3,1,1,2,90.0,0.9333,1,0,0,0.25,DragonWear MA-07,Casual,All-weather,2021,10,5306.9975,3533.92963525,15920.99,10601.79,Stockout
2014-05-31,8,19,7,6,1,95.0,0.9667,1,1,0,0.24,DragonWear MA-08,Casual,All-weather,2014,5,5353.448367952522,3709.404374154303,101715.52,70478.68,Stockout
2014-06-30,8,19,7,7,1,81.4,0.9667,1,0,0,0.2692,DragonWear MA-08,Casual,All-weather,2014,6,5353.448367952522,3709.404374154303,101715.52,70478.68,Stockout
2014-07-31,8,21,10,8,2,78.8,0.9333,1,0,0,0.2759,DragonWear MA-08,Casual,All-weather,2014,7,5353.448367952522,3709.404374154303,112422.42,77897.49,Stockout
2014-08-31,8,22,7,6,1,110.0,0.9667,1,1,0,0.2143,DragonWear MA-08,Casual,All-weather,2014,8,5353.448367952522,3709.404374154303,117775.86,81606.9,Stockout
2014-09-30,8,22,8,8,2,82.5,0.9333,1,0,0,0.2667,DragonWear MA-08,Casual,All-weather,2014,9,5353.448367952522,3709.404374154303,117775.86,81606.9,Stockout
