customer_id,zip,city,signup_date,gender,age_group,acquisition_channel,last_order_date,first_order_date,frequency,monetary,avg_order_value,recency_days,tenure_days,R_score,F_score,M_score,RFM_score,rfm_segment,region,signup_year,signup_month,signup_ym
18,15204,Bac Giang,2021-08-06,Male,45-54,referral,2018-08-13,2012-09-16,5,163744.89,32748.98,1602.0,3759.0,2.0,3.0,4.0,234.0,At Risk,East,2021,8,2021-08
20,15204,Bac Giang,2013-01-07,Male,45-54,paid_search,2022-03-20,2015-06-11,5,139542.26,27908.45,287.0,2761.0,4.0,3.0,4.0,434.0,Loyal Customers,East,2013,1,2013-01
22,15205,Bac Giang,2022-06-12,Male,35-44,organic_search,2022-08-29,2012-09-09,9,164068.0,18229.78,125.0,3766.0,5.0,4.0,4.0,544.0,Champions,East,2022,6,2022-06
23,15205,Bac Giang,2019-04-18,Female,45-54,organic_search,2022-04-01,2013-01-04,16,302074.28,18879.64,275.0,3649.0,4.0,5.0,5.0,455.0,Champions,East,2019,4,2019-04
24,15205,Bac Giang,2016-12-08,Male,18-24,social_media,2021-06-26,2012-08-02,8,163504.74,20438.09,554.0,3804.0,4.0,4.0,4.0,444.0,Champions,East,2016,12,2016-12
26,15206,Lao Cai,2019-04-04,Male,35-44,paid_search,2022-01-29,2013-07-18,4,33277.07,8319.27,337.0,3454.0,4.0,3.0,2.0,432.0,Loyal Customers,East,2019,4,2019-04
27,15206,Lao Cai,2015-10-25,Non-binary,18-24,social_media,2022-07-13,2013-07-17,3,69783.4,23261.13,172.0,3455.0,5.0,2.0,3.0,523.0,New Customers,East,2015,10,2015-10
28,15206,Lao Cai,2015-11-24,Male,25-34,email_campaign,,,0,0.0,,,,,,,,Never Purchased,East,2015,11,2015-11
30,15206,Lao Cai,2021-09-18,Male,45-54,social_media,2021-07-01,2015-08-20,2,32212.89,16106.44,549.0,2691.0,4.0,2.0,2.0,422.0,New Customers,East,2021,9,2021-09
32,15207,Hai Phong,2022-09-05,Female,25-34,paid_search,2020-12-25,2013-03-28,11,294712.59,26792.05,737.0,3566.0,3.0,4.0,5.0,345.0,Loyal Customers,East,2022,9,2022-09
33,15207,Hai Phong,2021-02-26,Male,25-34,organic_search,2018-04-02,2014-04-20,3,53888.12,17962.71,1735.0,3178.0,2.0,2.0,2.0,222.0,Lost,East,2021,2,2021-02
35,15207,Hai Phong,2019-09-11,Male,35-44,referral,2021-08-30,2013-06-28,7,169662.75,24237.54,489.0,3474.0,4.0,4.0,4.0,444.0,Champions,East,2019,9,2019-09
36,15208,Viet Tri,2021-04-16,Female,35-44,paid_search,2022-04-20,2014-11-15,2,47552.22,23776.11,256.0,2969.0,5.0,2.0,2.0,522.0,New Customers,East,2021,4,2021-04
38,15208,Viet Tri,2021-10-31,Female,35-44,email_campaign,2017-02-08,2017-02-08,1,18955.84,18955.84,2153.0,2153.0,2.0,1.0,1.0,211.0,Lost,East,2021,10,2021-10
40,15208,Viet Tri,2021-07-01,Female,25-34,social_media,,,0,0.0,,,,,,,,Never Purchased,East,2021,7,2021-07
41,15209,Ha Long,2022-06-29,Male,35-44,organic_search,2019-12-23,2015-09-12,4,125673.86,31418.46,1105.0,2668.0,3.0,3.0,4.0,334.0,Loyal Customers,East,2022,6,2022-06
42,15209,Ha Long,2014-09-08,Male,45-54,paid_search,2019-04-02,2014-06-27,3,195598.6,65199.53,1370.0,3110.0,3.0,2.0,4.0,324.0,Potential Loyalists,East,2014,9,2014-09
43,15209,Ha Long,2017-12-21,Female,45-54,direct,2022-07-03,2014-08-18,9,237345.07,26371.67,182.0,3058.0,5.0,4.0,4.0,544.0,Champions,East,2017,12,2017-12
44,15209,Ha Long,2018-09-24,Male,25-34,organic_search,2015-07-01,2014-01-06,3,172411.54,57470.51,2741.0,3282.0,1.0,2.0,4.0,124.0,Lost,East,2018,9,2018-09
45,15209,Ha Long,2015-07-17,Non-binary,55+,social_media,2021-05-30,2012-09-20,9,220382.06,24486.9,581.0,3755.0,4.0,4.0,4.0,444.0,Champions,East,2015,7,2015-07
46,15210,Hai Phong,2018-01-14,Female,35-44,social_media,2022-04-02,2012-10-18,12,361258.64,30104.89,274.0,3727.0,4.0,5.0,5.0,455.0,Champions,East,2018,1,2018-01
47,15210,Hai Phong,2015-12-25,Male,45-54,organic_search,2022-11-11,2013-04-10,8,139944.79,17493.1,51.0,3553.0,5.0,4.0,4.0,544.0,Champions,East,2015,12,2015-12
48,15210,Hai Phong,2018-08-06,Female,45-54,email_campaign,2022-06-13,2012-10-29,11,157539.5,14321.77,202.0,3716.0,5.0,4.0,4.0,544.0,Champions,East,2018,8,2018-08
49,15210,Hai Phong,2021-12-19,Male,25-34,organic_search,2021-05-06,2014-06-08,4,106017.75,26504.44,605.0,3129.0,4.0,3.0,3.0,433.0,Loyal Customers,East,2021,12,2021-12
50,15210,Hai Phong,2019-07-22,Male,18-24,direct,2022-02-27,2013-09-18,11,299793.38,27253.94,308.0,3392.0,4.0,4.0,5.0,445.0,Champions,East,2019,7,2019-07
51,15211,Cam Pha,2019-08-11,Female,25-34,paid_search,2018-04-20,2013-11-05,2,37712.31,18856.16,1717.0,3344.0,2.0,2.0,2.0,222.0,Lost,East,2019,8,2019-08
52,15211,Cam Pha,2017-09-23,Male,35-44,social_media,2016-10-10,2013-10-23,4,152390.96,38097.74,2274.0,3357.0,1.0,3.0,4.0,134.0,At Risk,East,2017,9,2017-09
53,15211,Cam Pha,2018-06-19,Female,35-44,direct,2017-04-25,2012-09-01,2,24502.43,12251.22,2077.0,3774.0,2.0,2.0,2.0,222.0,Lost,East,2018,6,2018-06
55,15211,Cam Pha,2022-01-23,Male,45-54,paid_search,2013-11-03,2013-11-03,1,8873.75,8873.75,3346.0,3346.0,1.0,1.0,1.0,111.0,Lost,East,2022,1,2022-01
56,15212,Son Tay,2021-10-03,Female,45-54,email_campaign,2022-07-10,2015-07-09,7,188712.06,26958.87,175.0,2733.0,5.0,4.0,4.0,544.0,Champions,East,2021,10,2021-10
57,15212,Son Tay,2017-03-06,Female,25-34,organic_search,2022-08-13,2013-07-26,6,124581.08,20763.51,141.0,3446.0,5.0,4.0,4.0,544.0,Champions,East,2017,3,2017-03
58,15212,Son Tay,2022-09-03,Male,25-34,social_media,2022-10-15,2012-11-11,6,284423.52,47403.92,78.0,3703.0,5.0,4.0,5.0,545.0,Champions,East,2022,9,2022-09
59,15212,Son Tay,2017-01-22,Male,55+,social_media,2019-05-03,2013-06-02,4,142531.54,35632.88,1339.0,3500.0,3.0,3.0,4.0,334.0,Loyal Customers,East,2017,1,2017-01
60,15212,Son Tay,2019-09-14,Female,18-24,referral,2020-10-30,2015-05-22,4,104471.86,26117.97,793.0,2781.0,3.0,3.0,3.0,333.0,Loyal Customers,East,2019,9,2019-09
62,15213,Phu Ly,2021-12-31,Female,25-34,social_media,,,0,0.0,,,,,,,,Never Purchased,East,2021,12,2021-12
63,15213,Phu Ly,2021-05-01,Male,25-34,paid_search,2021-10-17,2013-06-02,4,100994.12,25248.53,441.0,3500.0,4.0,3.0,3.0,433.0,Loyal Customers,East,2021,5,2021-05
64,15213,Phu Ly,2022-05-06,Male,18-24,organic_search,2018-01-27,2016-04-01,2,44478.64,22239.32,1800.0,2466.0,2.0,2.0,2.0,222.0,Lost,East,2022,5,2022-05
67,15214,Phu Ly,2017-12-27,Male,18-24,social_media,2022-11-06,2020-09-18,2,153245.65,76622.83,56.0,835.0,5.0,2.0,4.0,524.0,New Customers,East,2017,12,2017-12
68,15214,Phu Ly,2014-04-01,Male,35-44,social_media,2016-03-29,2013-03-27,3,45749.61,15249.87,2469.0,3567.0,1.0,2.0,2.0,122.0,Lost,East,2014,4,2014-04
69,15214,Phu Ly,2019-01-10,Male,18-24,email_campaign,2020-04-06,2014-04-23,6,111749.57,18624.93,1000.0,3175.0,3.0,4.0,3.0,343.0,Loyal Customers,East,2019,1,2019-01
70,15214,Phu Ly,2018-06-22,Male,18-24,direct,2017-08-01,2013-07-31,3,43626.3,14542.1,1979.0,3441.0,2.0,2.0,2.0,222.0,Lost,East,2018,6,2018-06
71,15215,Phu Ly,2017-09-30,Male,35-44,direct,2018-10-30,2014-06-01,3,30169.52,10056.51,1524.0,3136.0,2.0,2.0,2.0,222.0,Lost,East,2017,9,2017-09
74,15215,Phu Ly,2019-01-06,Male,35-44,direct,2021-03-17,2015-08-03,3,91702.84,30567.61,655.0,2708.0,4.0,2.0,3.0,423.0,New Customers,East,2019,1,2019-01
75,15215,Phu Ly,2022-02-13,Female,35-44,paid_search,2022-06-27,2013-08-22,7,154639.2,22091.31,188.0,3419.0,5.0,4.0,4.0,544.0,Champions,East,2022,2,2022-02
76,15216,Ninh Binh,2019-11-13,Female,35-44,paid_search,2020-11-13,2013-11-08,10,235819.58,23581.96,779.0,3341.0,3.0,4.0,4.0,344.0,Loyal Customers,East,2019,11,2019-11
78,15216,Ninh Binh,2020-06-20,Male,25-34,paid_search,2014-05-28,2013-05-25,2,69482.46,34741.23,3140.0,3508.0,1.0,2.0,3.0,123.0,Lost,East,2020,6,2020-06
79,15216,Ninh Binh,2018-06-09,Female,45-54,email_campaign,2020-09-20,2013-04-06,5,90524.94,18104.99,833.0,3557.0,3.0,3.0,3.0,333.0,Loyal Customers,East,2018,6,2018-06
80,15216,Ninh Binh,2018-03-19,Male,25-34,paid_search,2020-04-14,2015-08-25,5,149480.2,29896.04,992.0,2686.0,3.0,3.0,4.0,334.0,Loyal Customers,East,2018,3,2018-03
81,15217,Cam Pha,2021-05-14,Male,25-34,email_campaign,2017-04-27,2013-03-22,6,174439.26,29073.21,2075.0,3572.0,2.0,4.0,4.0,244.0,At Risk,East,2021,5,2021-05
82,15217,Cam Pha,2018-05-31,Male,35-44,organic_search,2018-04-23,2013-08-02,4,80174.97,20043.74,1714.0,3439.0,2.0,3.0,3.0,233.0,At Risk,East,2018,5,2018-05
83,15217,Cam Pha,2021-07-23,Male,25-34,direct,2022-10-16,2013-04-10,2,58962.02,29481.01,77.0,3553.0,5.0,2.0,3.0,523.0,New Customers,East,2021,7,2021-07
85,15217,Cam Pha,2019-11-26,Male,35-44,paid_search,2022-11-25,2015-05-21,7,199806.15,28543.74,37.0,2782.0,5.0,4.0,4.0,544.0,Champions,East,2019,11,2019-11
86,15218,Hai Phong,2017-11-10,Female,18-24,paid_search,2018-04-21,2013-12-06,2,34504.58,17252.29,1716.0,3313.0,2.0,2.0,2.0,222.0,Lost,East,2017,11,2017-11
88,15218,Hai Phong,2020-12-03,Female,25-34,paid_search,2019-06-12,2019-06-12,1,83340.8,83340.8,1299.0,1299.0,3.0,1.0,3.0,313.0,Potential Loyalists,East,2020,12,2020-12
89,15218,Hai Phong,2015-10-11,Male,45-54,referral,2019-05-02,2014-03-12,4,110042.15,27510.54,1340.0,3217.0,3.0,3.0,3.0,333.0,Loyal Customers,East,2015,10,2015-10
90,15218,Hai Phong,2014-09-21,Female,45-54,paid_search,2022-03-29,2012-11-20,5,91206.91,18241.38,278.0,3694.0,4.0,3.0,3.0,433.0,Loyal Customers,East,2014,9,2014-09
91,15219,Ninh Binh,2016-02-23,Female,25-34,organic_search,2015-06-14,2013-07-03,2,63882.85,31941.42,2758.0,3469.0,1.0,2.0,3.0,123.0,Lost,East,2016,2,2016-02
92,15219,Ninh Binh,2021-11-26,Female,18-24,referral,2015-08-13,2015-06-14,3,93885.32,31295.11,2698.0,2758.0,1.0,2.0,3.0,123.0,Lost,East,2021,11,2021-11
94,15219,Ninh Binh,2020-02-15,Female,35-44,social_media,2017-06-28,2013-06-25,3,64751.3,21583.77,2013.0,3477.0,2.0,2.0,3.0,223.0,Lost,East,2020,2,2020-02
95,15219,Ninh Binh,2015-02-28,Male,35-44,organic_search,2018-06-30,2015-04-07,4,99969.97,24992.49,1646.0,2826.0,2.0,3.0,3.0,233.0,At Risk,East,2015,2,2015-02
96,15220,Bac Giang,2019-09-22,Female,35-44,social_media,2017-10-04,2012-08-17,6,173827.14,28971.19,1915.0,3789.0,2.0,4.0,4.0,244.0,At Risk,East,2019,9,2019-09
98,15220,Bac Giang,2021-02-03,Male,18-24,organic_search,2019-03-30,2012-10-21,7,112690.39,16098.63,1373.0,3724.0,3.0,4.0,3.0,343.0,Loyal Customers,East,2021,2,2021-02
101,15221,Cam Pha,2013-05-08,Female,25-34,organic_search,2021-09-22,2015-04-09,3,94181.04,31393.68,466.0,2824.0,4.0,2.0,3.0,423.0,New Customers,East,2013,5,2013-05
102,15221,Cam Pha,2022-08-12,Male,35-44,email_campaign,2022-05-24,2014-05-29,10,152658.6,15265.86,222.0,3139.0,5.0,4.0,4.0,544.0,Champions,East,2022,8,2022-08
103,15221,Cam Pha,2022-04-27,Male,18-24,organic_search,2020-03-18,2012-08-24,10,159464.7,15946.47,1019.0,3782.0,3.0,4.0,4.0,344.0,Loyal Customers,East,2022,4,2022-04
104,15221,Cam Pha,2021-02-28,Non-binary,25-34,email_campaign,2021-06-12,2014-10-19,4,114576.6,28644.15,568.0,2996.0,4.0,3.0,3.0,433.0,Loyal Customers,East,2021,2,2021-02
105,15221,Cam Pha,2018-06-18,Female,25-34,organic_search,2021-06-23,2012-07-30,5,109127.55,21825.51,557.0,3807.0,4.0,3.0,3.0,433.0,Loyal Customers,East,2018,6,2018-06
106,15222,Bac Ninh,2022-01-03,Male,35-44,email_campaign,2019-06-10,2019-06-10,1,29824.76,29824.76,1301.0,1301.0,3.0,1.0,2.0,312.0,About To Sleep,East,2022,1,2022-01
107,15222,Bac Ninh,2016-03-08,Female,35-44,organic_search,2014-07-24,2014-07-24,1,9209.55,9209.55,3083.0,3083.0,1.0,1.0,1.0,111.0,Lost,East,2016,3,2016-03
108,15222,Bac Ninh,2020-03-30,Non-binary,45-54,organic_search,2014-08-02,2014-08-02,1,93252.72,93252.72,3074.0,3074.0,1.0,1.0,3.0,113.0,Lost,East,2020,3,2020-03
109,15222,Bac Ninh,2020-06-03,Non-binary,35-44,social_media,2017-05-03,2015-06-24,2,64266.02,32133.01,2069.0,2748.0,2.0,2.0,3.0,223.0,Lost,East,2020,6,2020-06
112,15223,Ha Long,2018-06-03,Male,25-34,paid_search,2015-05-27,2015-05-27,1,14961.03,14961.03,2776.0,2776.0,1.0,1.0,1.0,111.0,Lost,East,2018,6,2018-06
113,15223,Ha Long,2020-11-05,Male,35-44,direct,2019-04-28,2015-05-27,5,60124.86,12024.97,1344.0,2776.0,3.0,3.0,3.0,333.0,Loyal Customers,East,2020,11,2020-11
114,15223,Ha Long,2017-04-16,Male,18-24,organic_search,2016-06-02,2012-07-17,3,30782.01,10260.67,2404.0,3820.0,1.0,2.0,2.0,122.0,Lost,East,2017,4,2017-04
117,15224,Lao Cai,2018-11-01,Female,25-34,email_campaign,,,0,0.0,,,,,,,,Never Purchased,East,2018,11,2018-11
118,15224,Lao Cai,2021-12-29,Male,45-54,email_campaign,2021-06-16,2012-08-02,2,54459.64,27229.82,564.0,3804.0,4.0,2.0,2.0,422.0,New Customers,East,2021,12,2021-12
119,15224,Lao Cai,2021-10-03,Female,35-44,organic_search,2020-05-11,2013-08-22,4,157331.36,39332.84,965.0,3419.0,3.0,3.0,4.0,334.0,Loyal Customers,East,2021,10,2021-10
120,15224,Lao Cai,2016-11-22,Female,55+,direct,2017-06-30,2017-06-30,1,18954.08,18954.08,2011.0,2011.0,2.0,1.0,1.0,211.0,Lost,East,2016,11,2016-11
121,15225,Phu Ly,2022-11-30,Male,25-34,organic_search,,,0,0.0,,,,,,,,Never Purchased,East,2022,11,2022-11
122,15225,Phu Ly,2021-03-07,Female,45-54,organic_search,2013-03-17,2013-03-17,1,41167.84,41167.84,3577.0,3577.0,1.0,1.0,2.0,112.0,Lost,East,2021,3,2021-03
124,15225,Phu Ly,2021-02-07,Female,35-44,social_media,,,0,0.0,,,,,,,,Never Purchased,East,2021,2,2021-02
125,15225,Phu Ly,2012-04-24,Male,35-44,social_media,2020-11-09,2020-11-09,1,7972.26,7972.26,783.0,783.0,3.0,1.0,1.0,311.0,About To Sleep,East,2012,4,2012-04
126,15226,Viet Tri,2019-02-14,Female,35-44,email_campaign,2021-02-18,2013-05-12,10,177854.31,17785.43,682.0,3521.0,3.0,4.0,4.0,344.0,Loyal Customers,East,2019,2,2019-02
127,15226,Viet Tri,2013-10-03,Male,35-44,organic_search,2022-10-15,2017-05-24,5,63838.32,12767.66,78.0,2048.0,5.0,3.0,3.0,533.0,Loyal Customers,East,2013,10,2013-10
131,15227,Bac Ninh,2018-12-08,Female,25-34,paid_search,2020-08-01,2012-09-07,17,542375.68,31904.45,883.0,3768.0,3.0,5.0,5.0,355.0,Loyal Customers,East,2018,12,2018-12
132,15227,Bac Ninh,2015-01-07,Female,35-44,organic_search,2021-05-01,2013-04-02,14,290026.14,20716.15,610.0,3561.0,4.0,5.0,5.0,455.0,Champions,East,2015,1,2015-01
135,15227,Bac Ninh,2015-09-01,Male,25-34,paid_search,2022-10-21,2012-12-12,9,302803.94,33644.88,72.0,3672.0,5.0,4.0,5.0,545.0,Champions,East,2015,9,2015-09
136,15228,Ninh Binh,2020-09-18,Female,55+,paid_search,2019-05-01,2019-05-01,1,23423.96,23423.96,1341.0,1341.0,3.0,1.0,2.0,312.0,About To Sleep,East,2020,9,2020-09
137,15228,Ninh Binh,2015-04-19,Male,45-54,referral,2020-01-04,2017-10-07,2,130806.19,65403.1,1093.0,1912.0,3.0,2.0,4.0,324.0,Potential Loyalists,East,2015,4,2015-04
138,15228,Ninh Binh,2022-11-25,Female,25-34,paid_search,2015-06-29,2015-06-29,1,8048.6,8048.6,2743.0,2743.0,1.0,1.0,1.0,111.0,Lost,East,2022,11,2022-11
139,15228,Ninh Binh,2022-12-09,Female,18-24,social_media,2021-05-04,2015-11-19,3,108135.95,36045.32,607.0,2600.0,4.0,2.0,3.0,423.0,New Customers,East,2022,12,2022-12
140,15228,Ninh Binh,2016-06-26,Male,45-54,organic_search,2018-03-27,2013-05-24,5,207122.28,41424.46,1741.0,3509.0,2.0,3.0,4.0,234.0,At Risk,East,2016,6,2016-06
141,15229,Cam Pha,2020-08-14,Female,35-44,social_media,2022-10-15,2013-04-29,8,215308.1,26913.51,78.0,3534.0,5.0,4.0,4.0,544.0,Champions,East,2020,8,2020-08
142,15229,Cam Pha,2021-04-09,Male,35-44,social_media,2022-03-02,2013-04-29,6,194144.93,32357.49,305.0,3534.0,4.0,4.0,4.0,444.0,Champions,East,2021,4,2021-04
143,15229,Cam Pha,2018-06-10,Female,35-44,social_media,2017-04-01,2015-04-26,2,38512.31,19256.16,2101.0,2807.0,2.0,2.0,2.0,222.0,Lost,East,2018,6,2018-06
145,15229,Cam Pha,2020-02-19,Female,18-24,organic_search,2022-04-19,2013-12-28,6,98040.69,16340.12,257.0,3291.0,5.0,4.0,3.0,543.0,Champions,East,2020,2,2020-02
146,15232,Nam Dinh,2017-10-04,Male,45-54,email_campaign,2022-10-31,2022-10-31,1,39624.08,39624.08,62.0,62.0,5.0,1.0,2.0,512.0,New Customers,East,2017,10,2017-10
147,15232,Nam Dinh,2021-03-07,Female,35-44,paid_search,,,0,0.0,,,,,,,,Never Purchased,East,2021,3,2021-03
148,15232,Nam Dinh,2022-09-05,Male,25-34,paid_search,,,0,0.0,,,,,,,,Never Purchased,East,2022,9,2022-09
149,15232,Nam Dinh,2017-08-12,Male,25-34,social_media,2020-05-12,2020-05-12,1,31597.68,31597.68,964.0,964.0,3.0,1.0,2.0,312.0,About To Sleep,East,2017,8,2017-08
150,15232,Nam Dinh,2018-12-25,Female,55+,direct,2022-11-01,2021-04-26,2,45909.89,22954.94,61.0,615.0,5.0,2.0,2.0,522.0,New Customers,East,2018,12,2018-12
152,15233,Hai Phong,2022-01-29,Female,18-24,paid_search,2020-08-15,2018-06-05,2,18707.43,9353.72,869.0,1671.0,3.0,2.0,1.0,321.0,About To Sleep,East,2022,1,2022-01
153,15233,Hai Phong,2020-04-11,Female,25-34,social_media,,,0,0.0,,,,,,,,Never Purchased,East,2020,4,2020-04
154,15233,Hai Phong,2020-12-29,Female,25-34,paid_search,2021-03-25,2021-03-25,1,14903.22,14903.22,647.0,647.0,4.0,1.0,1.0,411.0,New Customers,East,2020,12,2020-12
155,15233,Hai Phong,2016-05-10,Male,18-24,organic_search,,,0,0.0,,,,,,,,Never Purchased,East,2016,5,2016-05
156,15234,Cam Pha,2017-12-06,Female,25-34,social_media,2021-05-18,2016-07-08,4,38827.53,9706.88,593.0,2368.0,4.0,3.0,2.0,432.0,Loyal Customers,East,2017,12,2017-12
157,15234,Cam Pha,2019-04-10,Male,55+,organic_search,2018-05-10,2014-08-29,2,61576.16,30788.08,1697.0,3047.0,2.0,2.0,3.0,223.0,Lost,East,2019,4,2019-04
158,15234,Cam Pha,2021-08-03,Male,45-54,referral,2019-05-28,2015-03-25,3,59526.87,19842.29,1314.0,2839.0,3.0,2.0,3.0,323.0,Potential Loyalists,East,2021,8,2021-08
159,15234,Cam Pha,2018-01-01,Male,45-54,paid_search,2017-10-06,2013-11-26,3,55700.83,18566.94,1913.0,3323.0,2.0,2.0,2.0,222.0,Lost,East,2018,1,2018-01
160,15234,Cam Pha,2017-11-14,Female,18-24,organic_search,2022-11-23,2012-12-08,8,252854.26,31606.78,39.0,3676.0,5.0,4.0,4.0,544.0,Champions,East,2017,11,2017-11
161,15235,Lao Cai,2015-05-04,Female,35-44,paid_search,2021-06-11,2012-07-13,16,362822.1,22676.38,569.0,3824.0,4.0,5.0,5.0,455.0,Champions,East,2015,5,2015-05
162,15235,Lao Cai,2021-12-06,Female,45-54,organic_search,2020-07-22,2012-12-31,14,378980.47,27070.03,893.0,3653.0,3.0,5.0,5.0,355.0,Loyal Customers,East,2021,12,2021-12
163,15235,Lao Cai,2017-12-26,Female,18-24,email_campaign,2022-05-05,2013-09-14,19,410736.64,21617.72,241.0,3396.0,5.0,5.0,5.0,555.0,Champions,East,2017,12,2017-12
166,15236,Hanoi,2015-05-03,Male,55+,organic_search,2021-02-25,2012-09-15,14,350203.65,25014.55,675.0,3760.0,4.0,5.0,5.0,455.0,Champions,East,2015,5,2015-05
167,15236,Hanoi,2018-02-07,Male,45-54,paid_search,2022-08-10,2012-07-18,22,536811.16,24400.51,144.0,3819.0,5.0,5.0,5.0,555.0,Champions,East,2018,2,2018-02
168,15236,Hanoi,2022-03-23,Female,18-24,paid_search,2021-06-29,2012-07-04,12,191804.79,15983.73,551.0,3833.0,4.0,5.0,4.0,454.0,Champions,East,2022,3,2022-03
169,15236,Hanoi,2017-10-16,Male,18-24,referral,2022-07-13,2012-07-04,22,633370.74,28789.58,172.0,3833.0,5.0,5.0,5.0,555.0,Champions,East,2017,10,2017-10
170,15236,Hanoi,2016-07-21,Male,35-44,paid_search,2022-07-07,2012-08-21,23,398664.12,17333.22,178.0,3785.0,5.0,5.0,5.0,555.0,Champions,East,2016,7,2016-07
172,15237,Lao Cai,2021-06-12,Female,55+,social_media,2022-10-24,2012-08-08,20,580887.97,29044.4,69.0,3798.0,5.0,5.0,5.0,555.0,Champions,East,2021,6,2021-06
173,15237,Lao Cai,2020-08-06,Female,18-24,paid_search,2022-07-02,2012-07-27,24,506787.05,21116.13,183.0,3810.0,5.0,5.0,5.0,555.0,Champions,East,2020,8,2020-08
176,15238,Ninh Binh,2017-06-17,Female,35-44,direct,2022-05-02,2013-06-01,7,145001.7,20714.53,244.0,3501.0,5.0,4.0,4.0,544.0,Champions,East,2017,6,2017-06
177,15238,Ninh Binh,2015-11-25,Female,25-34,organic_search,2022-06-13,2012-08-22,4,87481.56,21870.39,202.0,3784.0,5.0,3.0,3.0,533.0,Loyal Customers,East,2015,11,2015-11
178,15238,Ninh Binh,2020-03-17,Male,25-34,organic_search,2016-04-27,2014-03-26,4,30966.61,7741.65,2440.0,3203.0,1.0,3.0,2.0,132.0,At Risk,East,2020,3,2020-03
179,15238,Ninh Binh,2020-02-20,Female,35-44,social_media,2022-07-01,2014-04-12,7,110686.93,15812.42,184.0,3186.0,5.0,4.0,3.0,543.0,Champions,East,2020,2,2020-02
180,15238,Ninh Binh,2020-07-18,Male,45-54,email_campaign,2022-08-04,2013-01-19,11,269573.25,24506.66,150.0,3634.0,5.0,4.0,5.0,545.0,Champions,East,2020,7,2020-07
181,15239,Nam Dinh,2022-09-03,Male,45-54,social_media,2022-05-14,2012-07-22,14,427097.45,30506.96,232.0,3815.0,5.0,5.0,5.0,555.0,Champions,East,2022,9,2022-09
