return_id,order_id,product_id,return_date,return_reason,return_quantity,refund_amount,product_name,category,segment,size,color,price,cogs,order_date,customer_id,order_source,device_type,days_to_return,return_year,return_month,return_ym
RET-000014,144,396,2012-07-18,changed_mind,2,21480.07,SaigonFlex UM-01,Streetwear,Balanced,S,green,11028.42869470343,10091.01225565364,2012-07-04,95103,social_media,mobile,14,2012,7,2012-07
RET-000015,146,2064,2012-07-29,changed_mind,8,45752.21,UrbanVN UE-24,Streetwear,Performance,S,white,6479.721271860095,5307.5396937806045,2012-07-04,78826,paid_search,tablet,25,2012,7,2012-07
RET-000016,147,1156,2012-07-15,changed_mind,1,3585.13,MekongFit UR-13,Streetwear,Standard,S,green,4125.1374418604655,2224.2741086511624,2012-07-04,79363,email_campaign,desktop,11,2012,7,2012-07
RET-000018,192,1086,2012-07-14,wrong_size,1,977.65,MekongFit RP-32,Outdoor,Activewear,L,green,1139.5005960656706,846.3070926979735,2012-07-04,134336,referral,desktop,10,2012,7,2012-07
RET-000019,211,1228,2012-07-28,wrong_size,2,2963.07,MekongFit UC-30,Streetwear,Everyday,S,pink,1644.4317128463476,1030.2364680982369,2012-07-06,148159,paid_search,mobile,22,2012,7,2012-07
RET-000020,305,2250,2012-07-27,defective,1,1461.39,VietMotion RP-47,Outdoor,Activewear,L,red,1511.37,944.455113,2012-07-05,33610,paid_search,mobile,22,2012,7,2012-07
RET-000021,305,2251,2012-07-20,wrong_size,1,1511.59,VietMotion RP-48,Outdoor,Activewear,XL,black,1511.37,1150.605981,2012-07-05,33610,paid_search,mobile,15,2012,7,2012-07
RET-000022,336,396,2012-07-14,late_delivery,5,51989.35,SaigonFlex UM-01,Streetwear,Balanced,S,green,11028.42869470343,10091.01225565364,2012-07-07,110160,email_campaign,desktop,7,2012,7,2012-07
RET-000024,373,647,2012-07-31,defective,1,10993.16,SaigonFlex UC-12,Streetwear,Everyday,XL,silver,11033.912927650028,6038.860545302861,2012-07-07,143096,paid_search,mobile,24,2012,7,2012-07
RET-000025,405,1085,2012-07-27,changed_mind,1,1030.19,MekongFit RP-31,Outdoor,Activewear,M,purple,1139.5005960656706,895.8753686268303,2012-07-04,153819,direct,desktop,23,2012,7,2012-07
RET-000026,405,1086,2012-07-24,changed_mind,1,996.14,MekongFit RP-32,Outdoor,Activewear,L,green,1139.5005960656706,846.3070926979735,2012-07-04,153819,direct,desktop,20,2012,7,2012-07
RET-000027,409,635,2012-07-28,defective,1,9498.84,SaigonFlex UC-00,Streetwear,Everyday,XL,purple,10745.220588235294,9205.430477941176,2012-07-08,44737,social_media,tablet,20,2012,7,2012-07
RET-000028,412,676,2012-08-04,wrong_size,2,18304.91,SaigonFlex UC-41,Streetwear,Everyday,S,green,9891.036652260638,9195.696775606715,2012-07-08,54226,paid_search,mobile,27,2012,8,2012-08
RET-000029,423,495,2012-07-24,defective,5,42109.26,SaigonFlex UM-00,Streetwear,Balanced,XL,purple,8656.966557377049,6242.53858452459,2012-07-06,83175,email_campaign,mobile,18,2012,7,2012-07
RET-000030,430,475,2012-07-21,changed_mind,4,50712.69,SaigonFlex UM-80,Streetwear,Balanced,XL,purple,12606.228520360584,10040.861016467206,2012-07-06,125448,paid_search,mobile,15,2012,7,2012-07
RET-000032,530,1926,2012-07-17,not_as_described,3,3128.82,UrbanVN RP-01,Outdoor,Activewear,L,green,1137.8602807775376,1058.4376331792655,2012-07-05,30121,organic_search,mobile,12,2012,7,2012-07
RET-000033,530,1927,2012-07-31,defective,1,989.52,UrbanVN RP-02,Outdoor,Activewear,XL,silver,1137.8602807775376,1080.9672667386606,2012-07-05,30121,organic_search,mobile,26,2012,7,2012-07
RET-000034,533,1003,2012-07-19,changed_mind,3,2984.49,HanoiStreet YY-04,GenZ,Trendy,XL,blue,1038.87,986.9264999999998,2012-07-06,30155,paid_search,mobile,13,2012,7,2012-07
RET-000035,535,757,2012-07-18,changed_mind,2,1722.68,HanoiStreet RP-45,Outdoor,Activewear,M,silver,890.4549377123442,566.9526588414495,2012-07-05,30579,social_media,mobile,13,2012,7,2012-07
RET-000036,573,604,2012-07-27,defective,2,12072.58,SaigonFlex UC-69,Streetwear,Everyday,S,white,6135.298830630299,4141.940240558514,2012-07-07,155682,organic_search,desktop,20,2012,7,2012-07
RET-000037,574,1001,2012-08-04,defective,5,23287.95,HanoiStreet YY-02,GenZ,Trendy,M,black,4904.031105815062,3874.6749767044807,2012-07-09,155883,paid_search,desktop,26,2012,8,2012-08
RET-000038,584,396,2012-07-25,wrong_size,5,47746.91,SaigonFlex UM-01,Streetwear,Balanced,S,green,11028.42869470343,10091.01225565364,2012-07-08,141144,direct,mobile,17,2012,7,2012-07
RET-000039,587,94,2012-07-22,not_as_described,8,78524.23,DragonWear UM-21,Streetwear,Balanced,L,white,10703.7,9943.7373,2012-07-06,138467,paid_search,desktop,16,2012,7,2012-07
RET-000040,610,604,2012-07-27,defective,1,5473.26,SaigonFlex UC-69,Streetwear,Everyday,S,white,6135.298830630299,4141.940240558514,2012-07-07,41336,paid_search,mobile,20,2012,7,2012-07
RET-000043,637,739,2012-07-25,changed_mind,1,1753.14,HanoiStreet RP-27,Outdoor,Activewear,XL,yellow,2078.146595744681,1837.081590638298,2012-07-07,77341,referral,mobile,18,2012,7,2012-07
RET-000044,665,676,2012-07-22,changed_mind,5,42988.3,SaigonFlex UC-41,Streetwear,Everyday,S,green,9891.036652260638,9195.696775606715,2012-07-09,103406,organic_search,mobile,13,2012,7,2012-07
RET-000047,703,785,2012-07-26,wrong_size,2,1313.76,HanoiStreet RP-73,Outdoor,Activewear,M,purple,699.7209571558797,441.24403558249776,2012-07-09,140019,paid_search,mobile,17,2012,7,2012-07
RET-000048,703,786,2012-08-05,wrong_size,6,3896.87,HanoiStreet RP-74,Outdoor,Activewear,L,green,699.7209571558797,645.842443454877,2012-07-09,140019,paid_search,mobile,27,2012,8,2012-08
RET-000049,705,413,2012-07-22,defective,4,52503.65,SaigonFlex UM-18,Streetwear,Balanced,M,blue,14675.85,10280.432925,2012-07-07,139354,organic_search,desktop,15,2012,7,2012-07
RET-000050,720,396,2012-07-15,not_as_described,1,9949.49,SaigonFlex UM-01,Streetwear,Balanced,S,green,11028.42869470343,10091.01225565364,2012-07-09,58387,paid_search,desktop,6,2012,7,2012-07
RET-000052,751,725,2012-07-19,not_as_described,2,2735.52,HanoiStreet RP-13,Outdoor,Activewear,M,purple,1341.3127118644063,1274.2470762711862,2012-07-11,1470,email_campaign,mobile,8,2012,7,2012-07
RET-000053,751,726,2012-07-22,not_as_described,4,5243.86,HanoiStreet RP-14,Outdoor,Activewear,L,green,1341.3127118644063,1274.2470762711862,2012-07-11,1470,email_campaign,mobile,11,2012,7,2012-07
RET-000054,783,1014,2012-07-26,not_as_described,2,1783.07,HanoiStreet YY-15,GenZ,Trendy,L,white,1038.87,951.397146,2012-07-08,49487,organic_search,mobile,18,2012,7,2012-07
RET-000055,790,1201,2012-07-29,wrong_size,8,50934.33,MekongFit UC-03,Streetwear,Everyday,M,black,6929.37,6443.621163,2012-07-08,50635,social_media,mobile,21,2012,7,2012-07
RET-000056,815,2240,2012-07-24,wrong_size,1,1035.69,VietMotion RP-37,Outdoor,Activewear,S,red,1070.2073493975904,1005.3527840240964,2012-07-10,21865,social_media,desktop,14,2012,7,2012-07
RET-000057,815,2241,2012-08-04,wrong_size,2,2126.95,VietMotion RP-38,Outdoor,Activewear,M,black,1070.2073493975904,622.646635879518,2012-07-10,21865,social_media,desktop,25,2012,8,2012-08
RET-000059,839,1490,2012-07-19,wrong_size,1,3063.89,VietMode RP-82,Outdoor,Activewear,L,red,3248.5471597633136,3086.119801775148,2012-07-08,46057,email_campaign,tablet,11,2012,7,2012-07
RET-000060,841,1451,2012-07-19,wrong_size,4,16827.48,VietMode RP-43,Outdoor,Activewear,XL,black,4603.797692307692,4373.607807692308,2012-07-09,46086,organic_search,desktop,10,2012,7,2012-07
RET-000061,841,1452,2012-07-26,wrong_size,3,13759.34,VietMode RP-44,Outdoor,Activewear,S,orange,4603.797692307692,4373.607807692308,2012-07-09,46086,organic_search,desktop,17,2012,7,2012-07
RET-000062,879,992,2012-07-29,wrong_size,1,3013.98,HanoiStreet UC-55,Streetwear,Everyday,S,orange,3453.456099585062,2504.7917090290457,2012-07-08,33310,social_media,desktop,21,2012,7,2012-07
RET-000066,953,2064,2012-07-31,changed_mind,1,6477.59,UrbanVN UE-24,Streetwear,Performance,S,white,6479.721271860095,5307.5396937806045,2012-07-09,125056,social_media,desktop,22,2012,7,2012-07
RET-000067,982,1047,2012-07-25,defective,2,5172.68,MekongFit MA-05,Casual,All-weather,XL,silver,2653.821219512195,1379.987034146341,2012-07-11,146471,social_media,mobile,14,2012,7,2012-07
RET-000068,1019,2253,2012-07-25,changed_mind,1,1525.9,VietMotion RP-50,Outdoor,Activewear,M,blue,1621.5537476099423,1250.8665609063096,2012-07-08,135040,social_media,tablet,17,2012,7,2012-07
RET-000070,1039,1916,2012-08-04,changed_mind,2,6379.13,UrbanVN MA-09,Casual,All-weather,S,green,3559.9503011292345,3381.9527860727726,2012-07-12,148059,social_media,desktop,23,2012,8,2012-08
RET-000071,1049,1120,2012-07-25,not_as_described,6,13525.45,MekongFit RS-08,Outdoor,Premium,S,red,2225.38025390625,2045.792067416016,2012-07-09,43106,social_media,mobile,16,2012,7,2012-07
RET-000072,1064,647,2012-07-23,defective,4,37090.45,SaigonFlex UC-12,Streetwear,Everyday,XL,silver,11033.912927650028,6038.860545302861,2012-07-11,10479,email_campaign,mobile,12,2012,7,2012-07
RET-000073,1070,2269,2012-07-28,defective,3,10394.13,VietMotion RS-02,Outdoor,Premium,M,yellow,3915.427786872344,3719.6563975287263,2012-07-11,3266,organic_search,desktop,17,2012,7,2012-07
RET-000074,1110,2332,2012-08-06,wrong_size,6,33066.93,VietMotion UE-06,Streetwear,Performance,S,orange,5799.628950298211,4554.448614669184,2012-07-09,54888,direct,desktop,28,2012,8,2012-08
RET-000076,1155,2234,2012-07-28,changed_mind,5,3996.66,VietMotion RP-31,Outdoor,Activewear,L,white,815.4618895599655,609.0684853123382,2012-07-10,27748,referral,tablet,18,2012,7,2012-07
RET-000078,1169,2204,2012-07-29,defective,1,1657.8,VietMotion RP-01,Outdoor,Activewear,S,white,1771.100769230769,1588.5002799230772,2012-07-10,23882,organic_search,tablet,19,2012,7,2012-07
RET-000079,1239,2407,2012-07-23,wrong_size,2,1804.34,VietMotion YY-16,GenZ,Trendy,XL,silver,936.0128571428572,826.4057515714287,2012-07-12,83121,referral,desktop,11,2012,7,2012-07
RET-000082,1294,2388,2012-07-28,not_as_described,1,3588.15,VietMotion UC-36,Streetwear,Everyday,S,pink,3825.871123778501,2462.330655263844,2012-07-13,108459,social_media,mobile,15,2012,7,2012-07
RET-000083,1323,573,2012-07-27,defective,8,29572.42,SaigonFlex UC-38,Streetwear,Everyday,M,blue,3743.690322580645,2813.7576464516133,2012-07-11,140055,organic_search,desktop,16,2012,7,2012-07
RET-000084,1338,484,2012-07-21,changed_mind,2,28510.69,SaigonFlex UM-89,Streetwear,Balanced,S,white,15627.15,11739.11508,2012-07-10,141497,referral,desktop,11,2012,7,2012-07
RET-000085,1358,2234,2012-07-26,defective,5,3623.06,VietMotion RP-31,Outdoor,Activewear,L,white,815.4618895599655,609.0684853123382,2012-07-10,148450,paid_search,desktop,16,2012,7,2012-07
RET-000086,1358,2235,2012-07-29,wrong_size,3,2321.11,VietMotion RP-32,Outdoor,Activewear,XL,purple,815.4618895599655,614.042802838654,2012-07-10,148450,paid_search,desktop,19,2012,7,2012-07
RET-000087,1368,1426,2012-08-07,defective,1,3597.4,VietMode RP-18,Outdoor,Activewear,L,green,3680.236655518395,1877.2887179799327,2012-07-11,153722,organic_search,desktop,27,2012,8,2012-08
RET-000088,1376,565,2012-07-17,defective,1,10091.16,SaigonFlex UC-30,Streetwear,Everyday,M,purple,10752.791426927502,9051.699823187571,2012-07-10,59989,paid_search,mobile,7,2012,7,2012-07
RET-000090,1395,622,2012-07-29,defective,3,28117.7,SaigonFlex UC-87,Streetwear,Everyday,L,orange,9946.84289008455,7374.589318708685,2012-07-12,10606,social_media,desktop,17,2012,7,2012-07
RET-000091,1434,559,2012-07-24,changed_mind,5,33389.26,SaigonFlex UC-24,Streetwear,Everyday,XL,yellow,7658.988223707352,6569.1141994737945,2012-07-10,44025,social_media,mobile,14,2012,7,2012-07
RET-000092,1447,606,2012-07-24,wrong_size,1,3769.33,SaigonFlex UC-71,Streetwear,Everyday,L,green,4042.8549822064056,3552.4566728647687,2012-07-11,38774,social_media,mobile,13,2012,7,2012-07
RET-000093,1476,2054,2012-07-21,changed_mind,7,47099.43,UrbanVN UE-14,Streetwear,Performance,L,white,7071.6015724815725,6718.021493857494,2012-07-12,21689,direct,mobile,9,2012,7,2012-07
RET-000095,1499,596,2012-07-26,defective,1,8450.74,SaigonFlex UC-61,Streetwear,Everyday,S,green,9577.146989690722,5842.05966371134,2012-07-11,45342,organic_search,mobile,15,2012,7,2012-07
RET-000096,1513,1227,2012-08-02,wrong_size,2,7072.27,MekongFit UC-29,Streetwear,Everyday,XL,silver,3803.996185958254,3196.497995060721,2012-07-11,28666,social_media,desktop,22,2012,8,2012-08
RET-000097,1519,2379,2012-07-21,wrong_size,6,13192.91,VietMotion UC-27,Streetwear,Everyday,XL,yellow,2324.005436893204,2207.805165048544,2012-07-10,35234,paid_search,desktop,11,2012,7,2012-07
RET-000098,1524,976,2012-08-09,not_as_described,1,3498.2,HanoiStreet UC-39,Streetwear,Everyday,S,green,3962.158343558282,3764.050426380368,2012-07-14,35388,organic_search,desktop,26,2012,8,2012-08
RET-000099,1536,895,2012-07-22,wrong_size,2,12197.78,HanoiStreet UE-04,Streetwear,Performance,XL,purple,7118.876024096385,4305.496219373494,2012-07-10,33600,organic_search,mobile,12,2012,7,2012-07
RET-000102,1565,976,2012-07-29,defective,1,3556.47,HanoiStreet UC-39,Streetwear,Everyday,S,green,3962.158343558282,3764.050426380368,2012-07-14,89744,organic_search,mobile,15,2012,7,2012-07
RET-000103,1600,1974,2012-07-31,wrong_size,2,1339.38,UrbanVN RP-49,Outdoor,Activewear,L,white,692.3085964912281,657.6931666666666,2012-07-14,97197,email_campaign,desktop,17,2012,7,2012-07
RET-000104,1608,2396,2012-07-28,not_as_described,5,5051.09,VietMotion YY-05,GenZ,Trendy,S,green,1182.8508904109588,799.0157764726027,2012-07-14,79421,email_campaign,desktop,14,2012,7,2012-07
RET-000105,1623,604,2012-07-30,defective,3,17521.98,SaigonFlex UC-69,Streetwear,Everyday,S,white,6135.298830630299,4141.940240558514,2012-07-11,131581,paid_search,desktop,19,2012,7,2012-07
RET-000106,1642,1360,2012-08-10,wrong_size,1,4607.58,VietMode RP-52,Outdoor,Activewear,S,red,4629.24,4397.777999999999,2012-07-13,152303,social_media,mobile,28,2012,8,2012-08
RET-000107,1669,785,2012-08-05,late_delivery,2,1296.72,HanoiStreet RP-73,Outdoor,Activewear,M,purple,699.7209571558797,441.24403558249776,2012-07-14,139651,social_media,mobile,22,2012,8,2012-08
RET-000108,1674,758,2012-07-31,wrong_size,1,866.92,HanoiStreet RP-46,Outdoor,Activewear,L,pink,890.4549377123442,845.9321908267269,2012-07-12,139138,social_media,mobile,19,2012,7,2012-07
RET-000109,1686,622,2012-07-25,late_delivery,2,18018.15,SaigonFlex UC-87,Streetwear,Everyday,L,orange,9946.84289008455,7374.589318708685,2012-07-11,133574,referral,desktop,14,2012,7,2012-07
RET-000112,1740,785,2012-08-13,not_as_described,2,1287.11,HanoiStreet RP-73,Outdoor,Activewear,M,purple,699.7209571558797,441.24403558249776,2012-07-14,8792,paid_search,mobile,30,2012,8,2012-08
RET-000113,1740,786,2012-08-09,changed_mind,2,1301.2,HanoiStreet RP-74,Outdoor,Activewear,L,green,699.7209571558797,645.842443454877,2012-07-14,8792,paid_search,mobile,26,2012,8,2012-08
RET-000114,1789,1139,2012-08-06,defective,2,15133.06,MekongFit UM-16,Streetwear,Balanced,XL,yellow,8189.176153846154,6091.928140846154,2012-07-11,54840,social_media,desktop,26,2012,8,2012-08
RET-000115,1803,671,2012-07-23,wrong_size,1,10007.74,SaigonFlex UC-36,Streetwear,Everyday,XL,black,11194.626315789474,7866.463912105264,2012-07-11,23015,email_campaign,mobile,12,2012,7,2012-07
RET-000116,1818,826,2012-07-31,wrong_size,5,53670.76,HanoiStreet UM-10,Streetwear,Balanced,L,green,12730.405428472704,12093.885157049066,2012-07-14,25991,email_campaign,desktop,17,2012,7,2012-07
RET-000117,1841,2400,2012-08-03,not_as_described,1,956.03,VietMotion YY-09,GenZ,Trendy,S,red,1109.2610614525138,1053.798008379888,2012-07-13,31678,paid_search,mobile,21,2012,8,2012-08
RET-000118,1850,2331,2012-08-09,late_delivery,5,35354.54,VietMotion UE-05,Streetwear,Performance,XL,black,7365.661770148853,6671.816431400832,2012-07-13,85089,direct,desktop,27,2012,8,2012-08
RET-000122,1911,467,2012-07-26,wrong_size,1,11013.95,SaigonFlex UM-72,Streetwear,Balanced,XL,silver,11081.167628705149,6350.61716801092,2012-07-13,125027,paid_search,desktop,13,2012,7,2012-07
RET-000124,2057,1230,2012-07-22,changed_mind,1,5013.12,MekongFit UC-32,Streetwear,Everyday,L,red,5786.595352112676,3670.437431845072,2012-07-14,15984,direct,desktop,8,2012,7,2012-07
RET-000125,2074,2255,2012-07-27,defective,1,674.79,VietMotion RP-52,Outdoor,Activewear,XL,purple,715.600871757925,679.8208281700287,2012-07-15,64460,organic_search,desktop,12,2012,7,2012-07
RET-000126,2075,2254,2012-07-30,wrong_size,1,632.62,VietMotion RP-51,Outdoor,Activewear,L,white,715.600871757925,486.6801528825648,2012-07-13,64461,email_campaign,mobile,17,2012,7,2012-07
RET-000129,2133,550,2012-08-04,late_delivery,3,13449.34,SaigonFlex UC-15,Streetwear,Everyday,L,red,5184.6242217898825,3404.7427264494163,2012-07-16,24432,social_media,desktop,19,2012,8,2012-08
RET-000130,2138,484,2012-07-23,not_as_described,1,14880.18,SaigonFlex UM-89,Streetwear,Balanced,S,white,15627.15,11739.11508,2012-07-16,113500,organic_search,mobile,7,2012,7,2012-07
RET-000131,2170,2384,2012-07-28,wrong_size,1,7441.06,VietMotion UC-32,Streetwear,Everyday,S,white,7792.531998777506,4305.373929324572,2012-07-12,157395,paid_search,tablet,16,2012,7,2012-07
RET-000132,2174,596,2012-07-23,late_delivery,7,63977.13,SaigonFlex UC-61,Streetwear,Everyday,S,green,9577.146989690722,5842.05966371134,2012-07-14,117638,organic_search,desktop,9,2012,7,2012-07
RET-000133,2180,596,2012-08-09,defective,3,24861.66,SaigonFlex UC-61,Streetwear,Everyday,S,green,9577.146989690722,5842.05966371134,2012-07-15,118254,organic_search,desktop,25,2012,8,2012-08
RET-000134,2182,676,2012-07-31,defective,4,36202.95,SaigonFlex UC-41,Streetwear,Everyday,S,green,9891.036652260638,9195.696775606715,2012-07-14,118420,referral,desktop,17,2012,7,2012-07
RET-000135,2191,826,2012-07-28,changed_mind,1,11806.56,HanoiStreet UM-10,Streetwear,Balanced,L,green,12730.405428472704,12093.885157049066,2012-07-15,109631,organic_search,mobile,13,2012,7,2012-07
RET-000136,2204,964,2012-08-06,not_as_described,1,3439.77,HanoiStreet UC-27,Streetwear,Everyday,S,white,3906.510139211137,2223.9762222529,2012-07-16,113078,referral,desktop,21,2012,8,2012-08
RET-000137,2213,2250,2012-07-31,changed_mind,1,1469.26,VietMotion RP-47,Outdoor,Activewear,L,red,1511.37,944.455113,2012-07-15,130024,organic_search,tablet,16,2012,7,2012-07
RET-000138,2213,2251,2012-08-11,wrong_size,1,1488.29,VietMotion RP-48,Outdoor,Activewear,XL,black,1511.37,1150.605981,2012-07-15,130024,organic_search,tablet,27,2012,8,2012-08
RET-000141,2270,753,2012-08-01,wrong_size,1,2893.39,HanoiStreet RP-41,Outdoor,Activewear,M,blue,2960.314736842105,1663.992913578947,2012-07-12,134517,paid_search,desktop,20,2012,8,2012-08
RET-000143,2325,915,2012-07-30,wrong_size,4,26661.58,HanoiStreet UE-24,Streetwear,Performance,XL,purple,6677.37,6343.501499999999,2012-07-15,84675,email_campaign,mobile,15,2012,7,2012-07
RET-000144,2331,990,2012-08-03,wrong_size,4,20661.21,HanoiStreet UC-53,Streetwear,Everyday,L,red,5403.094003466204,3895.0904670987866,2012-07-15,102884,paid_search,mobile,19,2012,8,2012-08
RET-000146,2367,966,2012-08-09,not_as_described,3,15035.92,HanoiStreet UC-29,Streetwear,Everyday,L,green,5858.236646507408,3333.336651862716,2012-07-17,126675,organic_search,mobile,23,2012,8,2012-08
RET-000151,2422,819,2012-08-14,wrong_size,2,25515.22,HanoiStreet UM-03,Streetwear,Balanced,XL,yellow,14579.50153846154,12477.137416615386,2012-07-19,40535,organic_search,desktop,26,2012,8,2012-08
RET-000152,2468,1006,2012-08-10,wrong_size,4,4338.81,HanoiStreet YY-07,GenZ,Trendy,L,green,1119.5099999999998,619.760736,2012-07-17,44231,email_campaign,tablet,24,2012,8,2012-08
RET-000153,2470,1484,2012-08-11,not_as_described,8,7334.93,VietMode RP-76,Outdoor,Activewear,S,white,984.4328571428572,935.2112142857142,2012-07-18,45083,email_campaign,desktop,24,2012,8,2012-08
RET-000155,2524,2255,2012-07-27,changed_mind,4,2908.81,VietMotion RP-52,Outdoor,Activewear,XL,purple,715.600871757925,679.8208281700287,2012-07-18,73720,social_media,mobile,9,2012,7,2012-07
RET-000156,2532,2396,2012-07-29,not_as_described,1,1169.99,VietMotion YY-05,GenZ,Trendy,S,green,1182.8508904109588,799.0157764726027,2012-07-18,46121,social_media,mobile,11,2012,7,2012-07
RET-000157,2538,2070,2012-08-10,wrong_size,3,16457.87,UrbanVN UC-05,Streetwear,Everyday,L,red,6299.110953947368,5095.98076174342,2012-07-15,28166,organic_search,desktop,26,2012,8,2012-08
RET-000158,2543,606,2012-07-31,not_as_described,8,26810.39,SaigonFlex UC-71,Streetwear,Everyday,L,green,4042.8549822064056,3552.4566728647687,2012-07-16,29343,referral,mobile,15,2012,7,2012-07
RET-000159,2545,609,2012-08-10,wrong_size,1,9034.59,SaigonFlex UC-74,Streetwear,Everyday,M,yellow,10426.571033557047,8987.704230926174,2012-07-18,24711,organic_search,tablet,23,2012,8,2012-08
RET-000160,2548,2074,2012-08-03,wrong_size,4,15279.77,UrbanVN UC-09,Streetwear,Everyday,L,white,4031.37,2954.1879360000003,2012-07-15,26732,organic_search,desktop,19,2012,8,2012-08
RET-000161,2567,966,2012-08-03,wrong_size,7,36252.76,HanoiStreet UC-29,Streetwear,Everyday,L,green,5858.236646507408,3333.336651862716,2012-07-19,29993,referral,mobile,15,2012,8,2012-08
RET-000163,2628,1298,2012-08-10,wrong_size,3,12779.24,VietMode MA-34,Casual,All-weather,L,pink,4444.02,3357.4571100000003,2012-07-18,85813,paid_search,mobile,23,2012,8,2012-08
RET-000164,2636,1061,2012-08-07,changed_mind,4,6123.19,MekongFit RP-07,Outdoor,Activewear,M,black,1800.4956652868125,1624.2271396552335,2012-07-18,100634,paid_search,desktop,20,2012,8,2012-08
RET-000165,2651,2252,2012-08-07,defective,1,1359.22,VietMotion RP-49,Outdoor,Activewear,S,orange,1621.5537476099423,1087.4139431472274,2012-07-19,125295,email_campaign,desktop,19,2012,8,2012-08
RET-000168,2715,635,2012-08-03,wrong_size,1,9780.3,SaigonFlex UC-00,Streetwear,Everyday,XL,purple,10745.220588235294,9205.430477941176,2012-07-16,133761,social_media,desktop,18,2012,8,2012-08
RET-000169,2730,1228,2012-08-03,wrong_size,3,5027.16,MekongFit UC-30,Streetwear,Everyday,S,pink,1644.4317128463476,1030.2364680982369,2012-07-19,147407,social_media,tablet,15,2012,8,2012-08
RET-000170,2780,990,2012-07-30,not_as_described,2,10684.82,HanoiStreet UC-53,Streetwear,Everyday,L,red,5403.094003466204,3895.0904670987866,2012-07-17,10860,paid_search,mobile,13,2012,7,2012-07
RET-000171,2788,981,2012-08-05,wrong_size,4,7393.82,HanoiStreet UC-44,Streetwear,Everyday,M,black,2032.929931253305,1931.28343469064,2012-07-20,11525,organic_search,tablet,16,2012,8,2012-08
RET-000173,2846,513,2012-08-02,not_as_described,3,14895.72,SaigonFlex UE-01,Streetwear,Performance,M,blue,5635.854,4186.3123512,2012-07-16,39476,email_campaign,mobile,17,2012,8,2012-08
RET-000174,2858,604,2012-07-31,late_delivery,3,18245.16,SaigonFlex UC-69,Streetwear,Everyday,S,white,6135.298830630299,4141.940240558514,2012-07-18,64011,paid_search,desktop,13,2012,7,2012-07
RET-000175,2875,475,2012-08-10,changed_mind,3,36474.91,SaigonFlex UM-80,Streetwear,Balanced,XL,purple,12606.228520360584,10040.861016467206,2012-07-17,17431,social_media,desktop,24,2012,8,2012-08
RET-000177,2927,1114,2012-08-03,defective,2,3570.74,MekongFit RS-02,Outdoor,Premium,L,white,2070.64397260274,1556.5030742054794,2012-07-17,36443,organic_search,mobile,17,2012,8,2012-08
RET-000179,2991,1215,2012-08-03,not_as_described,2,7432.63,MekongFit UC-17,Streetwear,Everyday,XL,purple,4138.55297271872,2641.63836248636,2012-07-16,82832,paid_search,desktop,18,2012,8,2012-08
